NO_OF_FRAMES	577
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:02:49.703	683904.55384840
DATA_INCLUDED	3D
TITLE	Luftmostståndspåverkan av rörelsemängd 23.3g #5
MARKER_NAMES	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
686	1.37000	336.074	552.149	195.217
687	1.37200	335.996	550.662	195.200
688	1.37400	335.925	549.209	195.187
689	1.37600	335.867	547.729	195.213
690	1.37800	335.756	546.285	195.167
691	1.38000	335.658	544.823	195.174
692	1.38200	335.546	543.378	195.157
693	1.38400	335.468	541.899	195.142
694	1.38600	335.369	540.429	195.166
695	1.38800	335.228	538.951	195.126
696	1.39000	335.156	537.463	195.155
697	1.39200	335.079	536.009	195.162
698	1.39400	334.987	534.530	195.157
699	1.39600	334.937	533.066	195.155
700	1.39800	334.852	531.595	195.168
701	1.40000	334.780	530.115	195.145
702	1.40200	334.723	528.652	195.125
703	1.40400	334.645	527.164	195.118
704	1.40600	334.574	525.701	195.127
705	1.40800	334.517	524.229	195.126
706	1.41000	334.452	522.748	195.139
707	1.41200	334.388	521.276	195.143
708	1.41400	334.309	519.788	195.148
709	1.41600	334.245	518.316	195.155
710	1.41800	334.153	516.853	195.177
711	1.42000	334.109	515.371	195.201
712	1.42200	334.031	513.900	195.190
713	1.42400	333.953	512.419	195.193
714	1.42600	333.882	510.939	195.174
715	1.42800	333.797	509.467	195.169
716	1.43000	333.739	507.995	195.167
717	1.43200	333.641	506.523	195.166
718	1.43400	333.583	505.051	195.168
719	1.43600	333.519	503.578	195.172
720	1.43800	333.441	502.106	195.177
721	1.44000	333.328	500.618	195.157
722	1.44200	333.244	499.154	195.179
723	1.44400	333.131	497.674	195.177
724	1.44600	333.053	496.185	195.166
725	1.44800	332.961	494.713	195.181
726	1.45000	332.890	493.240	195.176
727	1.45200	332.813	491.768	195.146
728	1.45400	332.742	490.295	195.144
729	1.45600	332.664	488.822	195.118
730	1.45800	332.573	487.367	195.120
731	1.46000	332.495	485.894	195.100
732	1.46200	332.390	484.439	195.081
733	1.46400	332.299	482.992	195.103
734	1.46600	332.193	481.528	195.077
735	1.46800	332.080	480.065	195.104
736	1.47000	331.981	478.577	195.120
737	1.47200	331.856	477.138	195.136
738	1.47400	331.680	475.627	195.143
739	1.47600	331.532	474.148	195.176
740	1.47800	331.441	472.676	195.175
741	1.48000	331.329	471.203	195.149
742	1.48200	331.272	469.730	195.152
743	1.48400	331.181	468.266	195.118
744	1.48600	331.110	466.793	195.126
745	1.48800	331.046	465.320	195.111
746	1.49000	330.976	463.863	195.122
747	1.49200	330.912	462.382	195.124
748	1.49400	330.828	460.909	195.114
749	1.49600	330.757	459.445	195.146
750	1.49800	330.693	457.972	195.142
751	1.50000	330.629	456.516	195.164
752	1.50200	330.551	455.027	195.165
753	1.50400	330.494	453.562	195.180
754	1.50600	330.410	452.089	195.158
755	1.50800	330.319	450.617	195.163
756	1.51000	330.208	449.127	195.119
757	1.51200	330.103	447.663	195.090
758	1.51400	330.020	446.190	195.076
759	1.51600	329.942	444.701	195.067
760	1.51800	329.858	443.245	195.057
761	1.52000	329.787	441.755	195.052
