NO_OF_FRAMES	1558
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:52:39.154	683294.01175850
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
1185	2.36800	347.471	750.219	195.582
1186	2.37000	347.454	749.662	195.564
1187	2.37200	347.412	749.131	195.628
1188	2.37400	347.393	748.584	195.598
1189	2.37600	347.374	748.039	195.635
1190	2.37800	347.348	747.473	195.628
1191	2.38000	347.343	746.916	195.610
1192	2.38200	347.295	746.351	195.603
1193	2.38400	347.284	745.803	195.575
1194	2.38600	347.236	745.224	195.539
1195	2.38800	347.224	744.667	195.523
1196	2.39000	347.184	744.113	195.480
1197	2.39200	347.165	743.539	195.461
1198	2.39400	347.118	742.985	195.419
1199	2.39600	347.108	742.450	195.424
1200	2.39800	347.054	741.905	195.463
1201	2.40000	347.017	741.394	195.486
1202	2.40200	346.962	740.840	195.536
1203	2.40400	346.923	740.306	195.540
1204	2.40600	346.936	739.784	195.577
1205	2.40800	346.875	739.232	195.603
1206	2.41000	346.836	738.714	195.611
1207	2.41200	346.779	738.148	195.607
1208	2.41400	346.777	737.596	195.611
1209	2.41600	346.731	737.057	195.577
1210	2.41800	346.655	736.471	195.530
1211	2.42000	346.601	735.907	195.503
1212	2.42200	346.587	735.349	195.491
1213	2.42400	346.556	734.777	195.452
1214	2.42600	346.514	734.221	195.414
1215	2.42800	346.473	733.639	195.411
1216	2.43000	346.449	733.096	195.405
1217	2.43200	346.420	732.531	195.379
1218	2.43400	346.396	731.987	195.400
1219	2.43600	346.370	731.437	195.380
1220	2.43800	346.330	730.893	195.400
1221	2.44000	346.305	730.357	195.410
1222	2.44200	346.280	729.835	195.448
1223	2.44400	346.248	729.284	195.456
1224	2.44600	346.194	728.749	195.465
1225	2.44800	346.175	728.188	195.484
1226	2.45000	346.129	727.636	195.491
1227	2.45200	346.103	727.085	195.499
1228	2.45400	346.078	726.519	195.479
1229	2.45600	346.017	725.976	195.476
1230	2.45800	346.012	725.387	195.438
1231	2.46000	345.951	724.845	195.435
1232	2.46200	345.975	724.272	195.378
1233	2.46400	345.904	723.721	195.384
1234	2.46600	345.881	723.141	195.339
1235	2.46800	345.825	722.580	195.358
1236	2.47000	345.801	722.027	195.370
1237	2.47200	345.759	721.496	195.423
1238	2.47400	345.712	720.957	195.488
1239	2.47600	345.702	720.405	195.475
1240	2.47800	345.667	719.874	195.529
1241	2.48000	345.656	719.321	195.542
1242	2.48200	345.601	718.794	195.545
1243	2.48400	345.605	718.226	195.531
1244	2.48600	345.550	717.683	195.531
1245	2.48800	345.559	717.115	195.517
1246	2.49000	345.497	716.558	195.489
1247	2.49200	345.493	715.997	195.489
1248	2.49400	345.452	715.424	195.460
1249	2.49600	345.426	714.865	195.435
1250	2.49800	345.392	714.291	195.406
1251	2.50000	345.366	713.747	195.409
1252	2.50200	345.318	713.175	195.355
1253	2.50400	345.292	712.636	195.399
1254	2.50600	345.266	712.079	195.350
1255	2.50800	345.217	711.533	195.379
1256	2.51000	345.184	710.996	195.398
1257	2.51200	345.152	710.460	195.393
1258	2.51400	345.104	709.912	195.449
1259	2.51600	345.079	709.386	195.433
1260	2.51800	345.038	708.846	195.478
1261	2.52000	345.019	708.292	195.497
1262	2.52200	344.994	707.764	195.508
1263	2.52400	344.952	707.203	195.511
1264	2.52600	344.927	706.660	195.494
1265	2.52800	344.885	706.076	195.480
1266	2.53000	344.875	705.518	195.436
1267	2.53200	344.840	704.945	195.386
1268	2.53400	344.836	704.385	195.368
1269	2.53600	344.803	703.827	195.323
1270	2.53800	344.776	703.266	195.329
1271	2.54000	344.757	702.708	195.286
1272	2.54200	344.738	702.153	195.307
1273	2.54400	344.713	701.599	195.330
1274	2.54600	344.672	701.070	195.342
1275	2.54800	344.676	700.522	195.381
1276	2.55000	344.614	700.000	195.408
1277	2.55200	344.623	699.445	195.433
1278	2.55400	344.575	698.907	195.458
1279	2.55600	344.564	698.370	195.459
1280	2.55800	344.517	697.808	195.469
1281	2.56000	344.484	697.265	195.456
1282	2.56200	344.459	696.706	195.415
1283	2.56400	344.439	696.151	195.440
1284	2.56600	344.408	695.610	195.379
1285	2.56800	344.353	695.042	195.374
1286	2.57000	344.335	694.483	195.336
1287	2.57200	344.308	693.921	195.348
1288	2.57400	344.276	693.369	195.324
1289	2.57600	344.244	692.832	195.328
1290	2.57800	344.204	692.270	195.341
1291	2.58000	344.152	691.735	195.320
1292	2.58200	344.127	691.197	195.326
1293	2.58400	344.109	690.653	195.318
1294	2.58600	344.063	690.130	195.352
1295	2.58800	344.017	689.577	195.356
1296	2.59000	343.993	689.062	195.379
1297	2.59200	343.954	688.500	195.395
1298	2.59400	343.916	687.963	195.404
1299	2.59600	343.871	687.400	195.420
1300	2.59800	343.838	686.846	195.425
1301	2.60000	343.806	686.294	195.405
1302	2.60200	343.758	685.709	195.404
1303	2.60400	343.727	685.158	195.360
1304	2.60600	343.673	684.583	195.323
1305	2.60800	343.632	684.022	195.314
1306	2.61000	343.592	683.446	195.279
1307	2.61200	343.544	682.892	195.284
1308	2.61400	343.526	682.339	195.266
1309	2.61600	343.471	681.800	195.301
1310	2.61800	343.408	681.239	195.292
1311	2.62000	343.383	680.714	195.356
1312	2.62200	343.320	680.153	195.348
1313	2.62400	343.331	679.644	195.392
1314	2.62600	343.269	679.091	195.399
1315	2.62800	343.244	678.559	195.426
1316	2.63000	343.224	678.005	195.435
1317	2.63200	343.185	677.444	195.405
1318	2.63400	343.172	676.898	195.404
1319	2.63600	343.124	676.329	195.385
1320	2.63800	343.106	675.770	195.332
1321	2.64000	343.065	675.201	195.314
1322	2.64200	343.068	674.639	195.287
1323	2.64400	343.041	674.079	195.259
1324	2.64600	343.015	673.516	195.257
1325	2.64800	342.982	672.956	195.230
1326	2.65000	342.976	672.392	195.229
1327	2.65200	342.901	671.840	195.215
1328	2.65400	342.918	671.300	195.232
1329	2.65600	342.856	670.763	195.221
1330	2.65800	342.860	670.230	195.253
1331	2.66000	342.812	669.692	195.268
1332	2.66200	342.780	669.176	195.302
1333	2.66400	342.754	668.628	195.331
1334	2.66600	342.721	668.105	195.350
1335	2.66800	342.688	667.550	195.365
1336	2.67000	342.648	667.003	195.368
1337	2.67200	342.629	666.440	195.371
1338	2.67400	342.595	665.877	195.373
1339	2.67600	342.584	665.332	195.353
1340	2.67800	342.557	664.754	195.328
1341	2.68000	342.524	664.208	195.308
1342	2.68200	342.505	663.632	195.260
1343	2.68400	342.479	663.077	195.252
1344	2.68600	342.460	662.508	195.217
1345	2.68800	342.427	661.968	195.238
1346	2.69000	342.401	661.421	195.245
1347	2.69200	342.376	660.880	195.292
1348	2.69400	342.357	660.332	195.300
1349	2.69600	342.325	659.815	195.364
1350	2.69800	342.306	659.267	195.373
1351	2.70000	342.288	658.734	195.410
1352	2.70200	342.247	658.187	195.418
1353	2.70400	342.243	657.656	195.431
1354	2.70600	342.189	657.109	195.440
1355	2.70800	342.184	656.540	195.383
1356	2.71000	342.144	655.985	195.379
1357	2.71200	342.103	655.417	195.322
1358	2.71400	342.035	654.854	195.329
1359	2.71600	342.001	654.286	195.273
1360	2.71800	341.931	653.724	195.254
1361	2.72000	341.920	653.154	195.226
1362	2.72200	341.851	652.600	195.221
1363	2.72400	341.840	652.037	195.207
1364	2.72600	341.800	651.505	195.221
1365	2.72800	341.767	650.951	195.195
1366	2.73000	341.755	650.418	195.237
1367	2.73200	341.715	649.864	195.210
1368	2.73400	341.698	649.340	195.242
1369	2.73600	341.629	648.786	195.215
1370	2.73800	341.640	648.267	195.287
1371	2.74000	341.580	647.706	195.248
1372	2.74200	341.562	647.180	195.306
1373	2.74400	341.501	646.611	195.279
1374	2.74600	341.490	646.071	195.285
1375	2.74800	341.435	645.493	195.245
1376	2.75000	341.411	644.939	195.223
1377	2.75200	341.350	644.363	195.159
1378	2.75400	341.331	643.814	195.177
1379	2.75600	341.284	643.236	195.139
1380	2.75800	341.239	642.697	195.146
1381	2.76000	341.226	642.126	195.122
1382	2.76200	341.174	641.585	195.156
1383	2.76400	341.147	641.038	195.147
1384	2.76600	341.115	640.512	195.208
1385	2.76800	341.083	639.980	195.230
1386	2.77000	341.044	639.455	195.265
1387	2.77200	341.019	638.914	195.299
1388	2.77400	341.000	638.374	195.307
1389	2.77600	340.954	637.842	195.330
1390	2.77800	340.935	637.279	195.298
1391	2.78000	340.902	636.747	195.321
1392	2.78200	340.890	636.175	195.302
1393	2.78400	340.851	635.627	195.298
1394	2.78600	340.832	635.057	195.254
1395	2.78800	340.799	634.509	195.250
1396	2.79000	340.780	633.939	195.207
1397	2.79200	340.754	633.391	195.204
1398	2.79400	340.721	632.828	195.175
1399	2.79600	340.688	632.288	195.186
1400	2.79800	340.662	631.732	195.171
1401	2.80000	340.630	631.192	195.183
1402	2.80200	340.604	630.644	195.182
1403	2.80400	340.564	630.111	195.208
1404	2.80600	340.532	629.580	195.209
1405	2.80800	340.513	629.038	195.249
1406	2.81000	340.474	628.506	195.250
1407	2.81200	340.455	627.972	195.303
1408	2.81400	340.401	627.417	195.289
1409	2.81600	340.389	626.867	195.316
1410	2.81800	340.342	626.320	195.291
1411	2.82000	340.316	625.755	195.291
1412	2.82200	340.247	625.187	195.225
1413	2.82400	340.192	624.624	195.198
1414	2.82600	340.130	624.046	195.144
1415	2.82800	340.140	623.490	195.109
1416	2.83000	340.072	622.927	195.084
1417	2.83200	340.067	622.378	195.088
1418	2.83400	340.026	621.813	195.089
1419	2.83600	340.008	621.288	195.109
1420	2.83800	339.982	620.739	195.139
1421	2.84000	339.942	620.189	195.168
1422	2.84200	339.923	619.663	195.214
1423	2.84400	339.890	619.114	195.219
1424	2.84600	339.879	618.589	195.241
1425	2.84800	339.839	618.033	195.232
1426	2.85000	339.813	617.492	195.251
1427	2.85200	339.773	616.944	195.232
1428	2.85400	339.747	616.388	195.225
1429	2.85600	339.728	615.832	195.194
1430	2.85800	339.688	615.276	195.188
1431	2.86000	339.662	614.704	195.154
1432	2.86200	339.636	614.147	195.150
1433	2.86400	339.610	613.591	195.118
1434	2.86600	339.563	613.034	195.139
1435	2.86800	339.558	612.486	195.124
1436	2.87000	339.511	611.929	195.119
1437	2.87200	339.507	611.380	195.130
1438	2.87400	339.482	610.855	195.129
1439	2.87600	339.449	610.306	195.140
1440	2.87800	339.418	609.782	195.140
1441	2.88000	339.399	609.239	195.190
1442	2.88200	339.374	608.715	195.191
1443	2.88400	339.334	608.157	195.214
1444	2.88600	339.302	607.616	195.241
1445	2.88800	339.282	607.066	195.252
1446	2.89000	339.243	606.502	195.239
1447	2.89200	339.210	605.953	195.225
1448	2.89400	339.170	605.380	195.224
1449	2.89600	339.138	604.841	195.200
1450	2.89800	339.104	604.260	195.185
1451	2.90000	339.078	603.711	195.174
1452	2.90200	339.045	603.146	195.161
1453	2.90400	339.013	602.598	195.150
1454	2.90600	338.986	602.040	195.151
1455	2.90800	338.954	601.498	195.181
1456	2.91000	338.935	600.948	195.196
1457	2.91200	338.903	600.414	195.239
1458	2.91400	338.884	599.881	195.256
1459	2.91600	338.837	599.338	195.311
1460	2.91800	338.833	598.805	195.304
1461	2.92000	338.800	598.255	195.346
1462	2.92200	338.788	597.714	195.327
1463	2.92400	338.748	597.157	195.330
1464	2.92600	338.730	596.616	195.312
1465	2.92800	338.683	596.060	195.290
1466	2.93000	338.671	595.495	195.258
1467	2.93200	338.618	594.948	195.225
1468	2.93400	338.606	594.373	195.230
1469	2.93600	338.531	593.835	195.184
1470	2.93800	338.477	593.271	195.151
1471	2.94000	338.389	592.724	195.119
1472	2.94200	338.376	592.158	195.112
1473	2.94400	338.296	591.634	195.121
