NO_OF_FRAMES	775
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:00:59.078	683793.93011830
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
873	1.74400	342.731	669.373	195.306
874	1.74600	342.676	668.192	195.285
875	1.74800	342.614	667.009	195.292
876	1.75000	342.552	665.824	195.325
877	1.75200	342.512	664.633	195.322
878	1.75400	342.449	663.449	195.332
879	1.75600	342.388	662.258	195.331
880	1.75800	342.312	661.076	195.319
881	1.76000	342.242	659.876	195.331
882	1.76200	342.151	658.686	195.307
883	1.76400	342.061	657.496	195.284
884	1.76600	341.985	656.297	195.275
885	1.76800	341.930	655.105	195.283
886	1.77000	341.855	653.923	195.254
887	1.77200	341.781	652.740	195.228
888	1.77400	341.692	651.549	195.214
889	1.77600	341.584	650.368	195.192
890	1.77800	341.509	649.176	195.181
891	1.78000	341.421	647.985	195.172
892	1.78200	341.346	646.793	195.165
893	1.78400	341.264	645.600	195.184
894	1.78600	341.203	644.423	195.181
895	1.78800	341.128	643.231	195.177
896	1.79000	341.079	642.045	195.188
897	1.79200	341.025	640.844	195.174
898	1.79400	340.949	639.665	195.202
899	1.79600	340.895	638.488	195.206
900	1.79800	340.840	637.310	195.211
901	1.80000	340.778	636.116	195.216
902	1.80200	340.730	634.929	195.236
903	1.80400	340.683	633.752	195.220
904	1.80600	340.621	632.566	195.217
905	1.80800	340.559	631.381	195.216
906	1.81000	340.483	630.203	195.203
907	1.81200	340.421	629.017	195.204
908	1.81400	340.366	627.832	195.181
909	1.81600	340.248	626.639	195.169
910	1.81800	340.200	625.461	195.163
911	1.82000	340.145	624.265	195.182
912	1.82200	340.083	623.070	195.177
913	1.82400	340.000	621.885	195.160
914	1.82600	339.945	620.689	195.157
915	1.82800	339.890	619.494	195.157
916	1.83000	339.842	618.314	195.186
917	1.83200	339.766	617.119	195.187
918	1.83400	339.719	615.931	195.180
919	1.83600	339.665	614.761	195.175
920	1.83800	339.596	613.574	195.169
921	1.84000	339.548	612.377	195.178
922	1.84200	339.473	611.198	195.189
923	1.84400	339.426	610.011	195.164
924	1.84600	339.358	608.832	195.152
925	1.84800	339.283	607.652	195.168
926	1.85000	339.187	606.449	195.170
927	1.85200	339.105	605.260	195.200
