NO_OF_FRAMES	921
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-20, 19:07:19.004	867773.02854140
DATA_INCLUDED	3D
MARKER_NAMES	Puck1 - 1	Puck1 - 2	Puck1 - 3	Pucky - 1	Pucky - 2	Pucky - 3
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	Puck1 - 1 X	Puck1 - 1 Y	Puck1 - 1 Z	Puck1 - 2 X	Puck1 - 2 Y	Puck1 - 2 Z	Puck1 - 3 X	Puck1 - 3 Y	Puck1 - 3 Z	Pucky - 1 X	Pucky - 1 Y	Pucky - 1 Z	Pucky - 2 X	Pucky - 2 Y	Pucky - 2 Z	Pucky - 3 X	Pucky - 3 Y	Pucky - 3 Z	
2793	5.58400	279.642	348.330	165.699	278.657	368.160	165.623	299.932	351.043	165.733	484.416	363.800	164.808	469.521	379.098	165.133	467.342	352.141	165.123	
2794	5.58600	279.643	348.224	165.718	278.226	368.017	165.607	299.895	351.374	165.670	484.025	363.730	164.811	469.053	378.981	165.164	467.031	352.028	165.186	
2795	5.58800	279.675	348.129	165.752	277.888	367.892	165.622	299.882	351.714	165.767	483.682	363.708	164.746	468.723	378.911	165.167	466.670	351.963	165.144	
2796	5.59000	279.698	348.035	165.787	277.488	367.720	165.593	299.829	352.022	165.757	483.289	363.639	164.816	468.308	378.812	165.158	466.345	351.867	165.171	
2797	5.59200	279.705	347.936	165.757	277.070	367.573	165.630	299.806	352.395	165.672	482.956	363.603	164.781	467.928	378.750	165.179	465.999	351.769	165.166	
2798	5.59400	279.728	347.844	165.710	276.709	367.429	165.614	299.756	352.733	165.735	482.624	363.566	164.782	467.553	378.677	165.151	465.601	351.736	165.089	
2799	5.59600	279.744	347.744	165.679	276.286	367.260	165.618	299.649	353.028	165.793	482.213	363.494	164.789	467.122	378.589	165.223	465.288	351.627	165.179	
2800	5.59800	279.783	347.665	165.679	275.958	367.119	165.666	299.557	353.360	165.762	481.886	363.475	164.752	466.782	378.526	165.176	464.953	351.570	165.120	
2801	5.60000	279.821	347.570	165.713	275.606	366.955	165.652	299.472	353.717	165.680	481.507	363.396	164.775	466.396	378.462	165.164	464.591	351.496	165.098	
2802	5.60200	279.837	347.466	165.733	275.186	366.773	165.664	299.343	354.037	165.747	481.131	363.350	164.760	465.987	378.383	165.185	464.229	351.400	165.123	
2803	5.60400	279.862	347.360	165.752	274.849	366.570	165.591	299.215	354.323	165.820	480.777	363.304	164.746	465.571	378.294	165.191	463.928	351.320	165.115	
2804	5.60600	279.845	347.254	165.740	274.470	366.360	165.622	299.085	354.646	165.775	480.397	363.217	164.786	465.234	378.247	165.145	463.554	351.226	165.173	
2805	5.60800	279.868	347.155	165.711	274.062	366.161	165.583	298.954	355.014	165.738	480.037	363.179	164.754	464.794	378.149	165.169	463.195	351.167	165.117	
2806	5.61000	279.898	347.076	165.711	273.647	365.888	165.721	298.809	355.288	165.766	479.632	363.099	164.778	464.434	378.059	165.144	462.870	351.089	165.139	
2807	5.61200	279.936	346.987	165.696	273.265	365.662	165.700	298.679	355.578	165.759	479.287	363.046	164.779	464.034	377.996	165.131	462.506	350.977	165.200	
2808	5.61400	279.967	346.908	165.696	272.987	365.484	165.693	298.512	355.920	165.742	478.915	362.974	164.787	463.600	377.898	165.156	462.168	350.929	165.158	
2809	5.61600	279.998	346.810	165.698	272.561	365.225	165.651	298.344	356.202	165.752	478.518	362.913	164.839	463.286	377.835	165.144	461.811	350.826	165.199	
