NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:26:21
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity_YZ	Angular_Velocity_XZ	Angular_Velocity_XY

Frame	Time	Angular_Velocity_YZ	Angular_Velocity_XZ	Angular_Velocity_XY	
2929	5.85600	-7.163	0.943	0.397
2930	5.85800	-3.702	-0.220	-0.724
2931	5.86000	-2.478	-1.770	-0.962
2932	5.86200	-2.932	-2.300	-0.756
2933	5.86400	-0.417	-0.931	-0.799
2934	5.86600	2.634	-0.659	-0.177
2935	5.86800	3.871	-2.002	-0.152
2936	5.87000	5.268	-2.021	-1.548
2937	5.87200	5.603	0.337	0.426
2938	5.87400	3.993	0.552	1.792
2939	5.87600	1.441	-0.483	-0.473
2940	5.87800	1.797	0.576	-0.345
2941	5.88000	-1.051	1.490	1.185
2942	5.88200	-5.415	0.653	1.140
2943	5.88400	-5.309	0.840	-0.027
2944	5.88600	-9.726	1.849	0.224
2945	5.88800	-14.873	1.819	0.929
2946	5.89000	-14.383	0.579	0.654
2947	5.89200	-12.942	0.210	0.853
2948	5.89400	-14.855	1.348	0.723
2949	5.89600	-13.821	1.474	-0.492
2950	5.89800	-8.314	0.986	-0.872
2951	5.90000	-7.103	1.700	-0.891
2952	5.90200	-5.104	1.712	-0.923
2953	5.90400	1.526	1.832	0.074
2954	5.90600	5.653	0.768	-0.667
2955	5.90800	5.836	-0.306	-1.374
2956	5.91000	5.943	1.237	0.639
2957	5.91200	6.412	1.025	1.425
2958	5.91400	3.307	0.103	0.072
2959	5.91600	0.645	-1.173	0.458
2960	5.91800	1.897	-1.350	1.058
2961	5.92000	-1.841	0.041	0.582
2962	5.92200	-6.903	0.749	1.069
2963	5.92400	-7.544	1.330	0.695
2964	5.92600	-10.886	2.676	0.711
2965	5.92800	-11.913	3.766	0.859
2966	5.93000	-10.616	2.749	0.283
2967	5.93200	-8.963	3.160	0.104
2968	5.93400	-6.792	5.022	-0.434
2969	5.93600	-6.743	3.665	-0.508
2970	5.93800	-3.658	1.435	-0.699
2971	5.94000	-4.232	2.106	-1.189
2972	5.94200	-6.894	1.778	-1.634
2973	5.94400	-2.577	-1.264	-1.903
2974	5.94600	-2.912	-0.877	-1.212
2975	5.94800	-2.584	1.177	-0.033
2976	5.95000	-0.075	0.863	0.592
2977	5.95200	1.090	-0.195	1.084
2978	5.95400	3.103	1.567	1.824
2979	5.95600	2.723	2.795	1.973
2980	5.95800	1.435	2.642	1.758
2981	5.96000	2.198	4.954	1.901
2982	5.96200	2.674	6.027	1.583
2983	5.96400	-1.146	4.903	0.901
2984	5.96600	-5.700	4.681	0.740
2985	5.96800	-7.940	3.845	0.513
2986	5.97000	-8.207	2.198	-0.135
2987	5.97200	-11.931	2.193	0.380
2988	5.97400	-14.042	2.282	-0.257
2989	5.97600	-11.357	2.082	-2.192
2990	5.97800	-10.653	2.066	-0.323
2991	5.98000	-12.852	2.824	0.910
2992	5.98200	-12.205	4.657	0.136
2993	5.98400	-7.041	5.038	1.016
2994	5.98600	-6.058	4.582	1.419
2995	5.98800	-3.164	4.814	1.653
2996	5.99000	3.432	4.539	2.029
2997	5.99200	0.850	4.213	1.231
2998	5.99400	0.758	3.566	0.828
2999	5.99600	5.485	2.590	0.536
3000	5.99800	3.274	0.891	0.347
3001	6.00000	0.061	-0.098	1.129
3002	6.00200	-0.359	-0.597	1.259
3003	6.00400	-2.685	0.566	1.925
3004	6.00600	-5.610	1.424	1.834
3005	6.00800	-5.735	0.982	1.407
3006	6.01000	-5.274	2.879	2.417
3007	6.01200	-8.602	3.512	1.624
3008	6.01400	-10.920	3.533	1.225
3009	6.01600	-6.430	4.739	2.174
3010	6.01800	-6.084	5.959	1.370
3011	6.02000	-10.292	5.885	0.725
3012	6.02200	-8.274	4.809	0.250
3013	6.02400	-7.752	3.510	-0.494
3014	6.02600	-9.572	2.646	-0.915
3015	6.02800	-7.973	2.377	-1.475
3016	6.03000	-8.537	0.835	-0.633
3017	6.03200	-8.505	1.112	-0.800
3018	6.03400	-5.994	1.358	-0.264
3019	6.03600	-3.976	-0.102	2.230
3020	6.03800	-2.766	0.673	1.987
3021	6.04000	-2.742	2.233	1.235
3022	6.04200	-0.300	1.811	2.915
3023	6.04400	4.457	1.292	3.202
3024	6.04600	1.221	3.625	2.525
3025	6.04800	-0.353	4.485	3.168
3026	6.05000	0.817	2.440	2.266
3027	6.05200	-5.385	1.795	0.792
3028	6.05400	-8.379	2.083	-0.469
3029	6.05600	-9.666	1.600	-0.651
3030	6.05800	-13.233	1.299	-0.885
3031	6.06000	-13.138	1.846	-1.630
3032	6.06200	-12.766	1.553	-1.137
3033	6.06400	-12.292	0.166	-1.030
3034	6.06600	-11.661	1.164	-0.248
3035	6.06800	-10.389	2.645	0.199
3036	6.07000	-6.012	2.341	-0.209
3037	6.07200	-5.253	3.769	1.040
3038	6.07400	-3.437	4.800	1.473
3039	6.07600	2.144	3.066	1.208
3040	6.07800	3.149	2.406	2.119
3041	6.08000	0.354	2.106	1.454
3042	6.08200	1.607	0.613	0.564
3043	6.08400	4.128	-0.851	0.524
3044	6.08600	-0.046	-1.967	-1.075
3045	6.08800	-1.900	-1.601	-0.800
3046	6.09000	-0.071	-1.404	-0.604
3047	6.09200	-3.121	-1.151	-2.023
3048	6.09400	-3.255	-0.357	-1.080
3049	6.09600	-1.158	0.658	-0.451
3050	6.09800	-4.546	1.156	-0.483
3051	6.10000	-5.187	2.866	0.050
3052	6.10200	-3.728	4.030	-0.322
3053	6.10400	-5.405	4.239	-0.739
3054	6.10600	-6.778	3.896	0.120
3055	6.10800	-10.819	3.308	0.381
3056	6.11000	-14.837	3.951	-0.668
3057	6.11200	-14.683	2.928	-0.343
3058	6.11400	-13.324	1.795	0.466
3059	6.11600	-10.665	0.778	-1.007
3060	6.11800	-6.863	-0.731	-1.677
3061	6.12000	-4.499	-0.973	-0.752
3062	6.12200	-2.907	-0.954	-0.799
3063	6.12400	1.420	-1.606	-0.040
3064	6.12600	4.335	-1.475	0.038
3065	6.12800	6.342	-0.965	0.340
3066	6.13000	7.314	-1.192	1.899
3067	6.13200	4.126	-0.199	0.815
3068	6.13400	1.207	-0.151	0.850
3069	6.13600	-3.212	-1.050	1.223
3070	6.13800	-8.008	0.342	-0.022
3071	6.14000	-9.561	2.193	0.639
3072	6.14200	-10.679	2.390	1.105
3073	6.14400	-13.607	3.018	-0.200
3074	6.14600	-15.035	5.650	-0.487
3075	6.14800	-13.008	4.424	-0.163
3076	6.15000	-12.939	1.691	-1.680
3077	6.15200	-13.964	2.976	-2.341
3078	6.15400	-11.864	3.111	-1.679
3079	6.15600	-9.902	1.645	-1.687
3080	6.15800	-10.010	1.019	-1.443
3081	6.16000	-8.578	0.305	-0.255
3082	6.16200	-4.869	-0.860	0.136
3083	6.16400	-4.102	-2.695	-0.216
3084	6.16600	-2.673	-1.626	0.975
3085	6.16800	-0.990	-0.116	1.017
3086	6.17000	1.941	-2.149	0.484
3087	6.17200	2.583	-0.706	1.881
3088	6.17400	-2.346	1.976	1.340
3089	6.17600	-1.391	2.308	1.078
3090	6.17800	-4.148	3.783	1.809
3091	6.18000	-10.394	4.430	0.180
3092	6.18200	-8.859	4.296	-1.271
3093	6.18400	-10.303	3.587	-0.340
3094	6.18600	-14.739	3.206	-0.050
3095	6.18800	-13.546	1.940	-0.846
3096	6.19000	-13.985	0.430	-0.723
3097	6.19200	-17.396	1.152	-0.562
3098	6.19400	-16.958	0.785	-0.373
3099	6.19600	-14.928	-0.928	-0.616
3100	6.19800	-17.429	-0.366	-0.789
3101	6.20000	-18.093	2.269	0.194
3102	6.20200	-14.647	1.271	0.303
3103	6.20400	-14.683	0.641	-0.286
3104	6.20600	-13.620	2.741	1.684
3105	6.20800	-10.614	3.502	1.390
3106	6.21000	-9.755	2.513	-0.245
3107	6.21200	-4.931	1.794	1.980
3108	6.21400	-1.575	1.636	1.731
3109	6.21600	-3.989	0.288	-0.751
3110	6.21800	-1.671	0.056	0.313
3111	6.22000	-4.263	0.267	0.637
