NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:21:13
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z

Frame	Time	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z	
2931	5.86000	2.589	-35.912	0.191
2932	5.86200	2.330	-35.776	-0.085
2933	5.86400	2.013	-35.875	-0.388
2934	5.86600	1.680	-36.070	-0.671
2935	5.86800	1.363	-36.349	-0.727
2936	5.87000	1.107	-36.566	-0.429
2937	5.87200	0.699	-36.570	0.125
2938	5.87400	0.334	-36.595	0.372
2939	5.87600	0.021	-36.727	0.227
2940	5.87800	-0.446	-36.821	-0.060
2941	5.88000	-0.821	-36.885	-0.455
2942	5.88200	-1.049	-37.152	-0.652
2943	5.88400	-0.958	-37.393	-0.701
2944	5.88600	-0.728	-37.563	-0.493
2945	5.88800	-0.790	-37.758	-0.029
2946	5.89000	-1.198	-37.958	0.406
2947	5.89200	-1.759	-38.110	0.193
2948	5.89400	-2.204	-38.251	-0.301
2949	5.89600	-2.493	-38.467	-0.555
2950	5.89800	-2.537	-38.599	-0.717
2951	5.90000	-2.380	-38.877	-0.610
2952	5.90200	-2.114	-39.251	-0.317
2953	5.90400	-1.884	-39.402	0.005
2954	5.90600	-1.636	-39.470	0.110
2955	5.90800	-1.431	-39.643	0.064
2956	5.91000	-1.214	-39.934	0.185
2957	5.91200	-0.977	-40.258	0.128
2958	5.91400	-0.984	-40.541	0.032
2959	5.91600	-1.164	-40.776	0.182
2960	5.91800	-1.205	-41.082	0.069
2961	5.92000	-1.131	-41.497	-0.083
2962	5.92200	-1.115	-42.059	-0.602
2963	5.92400	-1.019	-42.357	-1.367
2964	5.92600	-0.740	-42.448	-1.823
2965	5.92800	-0.273	-42.492	-2.011
2966	5.93000	0.210	-42.251	-1.598
2967	5.93200	0.466	-42.289	-0.941
2968	5.93400	0.168	-42.827	-0.543
2969	5.93600	-0.153	-43.231	-0.560
2970	5.93800	-0.132	-43.311	-0.764
2971	5.94000	0.070	-43.492	-0.928
2972	5.94200	0.529	-43.659	-1.272
2973	5.94400	1.014	-43.704	-1.222
2974	5.94600	1.185	-44.050	-1.212
2975	5.94800	0.994	-44.586	-1.278
2976	5.95000	0.749	-45.007	-0.780
2977	5.95200	0.535	-45.390	-0.331
2978	5.95400	0.397	-45.565	0.046
2979	5.95600	0.551	-45.443	0.442
2980	5.95800	0.754	-45.262	0.736
2981	5.96000	0.804	-45.107	0.696
2982	5.96200	0.070	-44.741	-0.034
2983	5.96400	-0.849	-44.339	-1.067
2984	5.96600	-0.689	-44.130	-1.748
2985	5.96800	-0.111	-44.220	-1.879
2986	5.97000	0.352	-44.600	-1.630
2987	5.97200	0.654	-45.108	-1.405
2988	5.97400	0.880	-45.650	-1.037
2989	5.97600	1.078	-46.019	-0.312
2990	5.97800	1.544	-46.114	0.729
2991	5.98000	1.979	-46.019	1.438
2992	5.98200	2.129	-46.136	1.784
2993	5.98400	2.378	-46.252	1.894
2994	5.98600	2.459	-46.508	1.605
2995	5.98800	2.335	-46.845	1.084
2996	5.99000	2.287	-46.879	0.464
2997	5.99200	2.705	-46.772	0.072
2998	5.99400	3.450	-46.647	0.109
2999	5.99600	4.040	-46.397	0.536
3000	5.99800	4.454	-46.206	0.471
3001	6.00000	4.561	-46.409	0.269
3002	6.00200	4.359	-46.569	0.321
3003	6.00400	4.319	-46.704	0.378
3004	6.00600	4.514	-47.031	0.364
3005	6.00800	4.655	-47.447	0.043
3006	6.01000	4.750	-47.719	-0.063
3007	6.01200	4.903	-47.726	-0.285
3008	6.01400	5.045	-47.646	-0.495
3009	6.01600	5.310	-47.596	-0.635
3010	6.01800	5.589	-47.414	-1.051
3011	6.02000	5.802	-47.238	-1.201
3012	6.02200	5.999	-47.262	-1.137
3013	6.02400	5.910	-47.276	-1.071
3014	6.02600	5.927	-47.486	-1.062
3015	6.02800	6.123	-47.831	-0.974
3016	6.03000	6.298	-48.046	-0.883
3017	6.03200	6.422	-48.327	-0.885
3018	6.03400	6.451	-48.599	-0.920
3019	6.03600	6.560	-48.779	-1.133
3020	6.03800	6.651	-48.918	-1.368
3021	6.04000	6.690	-49.033	-1.373
3022	6.04200	6.835	-49.021	-1.379
