NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 20:23:10
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity

Frame	Time	Angular_Velocity	
3298	6.59400	5.163
3299	6.59600	3.400
3300	6.59800	2.369
3301	6.60000	1.421
3302	6.60200	3.520
3303	6.60400	3.189
3304	6.60600	0.075
3305	6.60800	0.344
3306	6.61000	0.856
3307	6.61200	-0.491
3308	6.61400	-0.589
3309	6.61600	-1.741
3310	6.61800	-4.158
3311	6.62000	-4.561
3312	6.62200	-4.473
3313	6.62400	-6.244
3314	6.62600	-7.345
3315	6.62800	-4.927
3316	6.63000	-5.679
3317	6.63200	-8.290
3318	6.63400	-8.241
3319	6.63600	-8.828
3320	6.63800	-10.670
3321	6.64000	-10.147
3322	6.64200	-10.118
3323	6.64400	-13.828
3324	6.64600	-11.686
3325	6.64800	-8.389
3326	6.65000	-7.736
3327	6.65200	-9.465
3328	6.65400	-10.773
3329	6.65600	-9.459
3330	6.65800	-8.962
3331	6.66000	-10.179
3332	6.66200	-10.421
3333	6.66400	-7.346
3334	6.66600	-7.139
3335	6.66800	-7.753
3336	6.67000	-6.867
3337	6.67200	-6.136
3338	6.67400	-6.460
3339	6.67600	-5.647
3340	6.67800	-2.468
3341	6.68000	-3.934
3342	6.68200	-5.251
3343	6.68400	-2.547
3344	6.68600	-2.152
3345	6.68800	-2.510
3346	6.69000	-2.067
3347	6.69200	0.091
3348	6.69400	1.673
3349	6.69600	3.895
3350	6.69800	4.297
3351	6.70000	3.318
3352	6.70200	4.939
3353	6.70400	6.556
3354	6.70600	6.690
3355	6.70800	7.051
3356	6.71000	7.903
3357	6.71200	6.589
3358	6.71400	7.532
3359	6.71600	6.644
3360	6.71800	5.603
3361	6.72000	8.204
3362	6.72200	10.835
3363	6.72400	10.913
3364	6.72600	12.482
3365	6.72800	15.681
3366	6.73000	14.296
3367	6.73200	14.122
3368	6.73400	13.090
3369	6.73600	10.584
3370	6.73800	10.415
3371	6.74000	12.034
3372	6.74200	10.431
3373	6.74400	7.967
3374	6.74600	9.815
3375	6.74800	11.308
3376	6.75000	15.056
3377	6.75200	13.370
3378	6.75400	11.621
3379	6.75600	15.427
3380	6.75800	18.210
3381	6.76000	16.798
3382	6.76200	13.809
3383	6.76400	15.449
3384	6.76600	15.466
3385	6.76800	14.568
3386	6.77000	15.940
3387	6.77200	16.056
3388	6.77400	15.346
3389	6.77600	17.392
3390	6.77800	17.411
3391	6.78000	15.726
3392	6.78200	17.481
3393	6.78400	19.281
3394	6.78600	16.994
3395	6.78800	18.576
3396	6.79000	20.858
3397	6.79200	18.379
3398	6.79400	17.275
3399	6.79600	18.495
3400	6.79800	17.746
3401	6.80000	17.243
3402	6.80200	19.217
3403	6.80400	16.894
3404	6.80600	15.147
3405	6.80800	15.724
3406	6.81000	15.252
3407	6.81200	15.142
3408	6.81400	16.195
3409	6.81600	16.060
3410	6.81800	14.502
3411	6.82000	15.515
3412	6.82200	18.395
3413	6.82400	18.144
3414	6.82600	15.966
3415	6.82800	15.567
3416	6.83000	13.855
3417	6.83200	15.201
3418	6.83400	17.524
3419	6.83600	15.493
3420	6.83800	13.499
3421	6.84000	14.630
3422	6.84200	15.884
3423	6.84400	14.880
3424	6.84600	13.679
3425	6.84800	14.182
3426	6.85000	13.264
3427	6.85200	11.641
3428	6.85400	13.342
3429	6.85600	13.357
3430	6.85800	8.645
3431	6.86000	9.764
3432	6.86200	9.678
3433	6.86400	6.110
3434	6.86600	9.472
3435	6.86800	6.796
3436	6.87000	4.556
3437	6.87200	6.360
3438	6.87400	6.176
3439	6.87600	2.965
3440	6.87800	-1.424
3441	6.88000	1.127
3442	6.88200	-2.115
3443	6.88400	-5.452
3444	6.88600	-2.849
3445	6.88800	-4.787
3446	6.89000	-10.284
3447	6.89200	-10.751
3448	6.89400	-9.218
3449	6.89600	-12.010
3450	6.89800	-14.981
3451	6.90000	-15.029
3452	6.90200	-13.968
3453	6.90400	-14.888
3454	6.90600	-15.335
3455	6.90800	-17.173
3456	6.91000	-20.382
3457	6.91200	-18.902
3458	6.91400	-17.990
3459	6.91600	-20.737
3460	6.91800	-22.009
3461	6.92000	-20.163
3462	6.92200	-18.960
3463	6.92400	-21.388
3464	6.92600	-21.961
3465	6.92800	-20.603
3466	6.93000	-18.284
3467	6.93200	-16.654
3468	6.93400	-17.381
3469	6.93600	-19.582
3470	6.93800	-20.147
3471	6.94000	-17.209
3472	6.94200	-16.751
3473	6.94400	-19.687
3474	6.94600	-18.359
3475	6.94800	-15.430
3476	6.95000	-14.123
3477	6.95200	-13.059
3478	6.95400	-14.288
3479	6.95600	-14.300
3480	6.95800	-13.057
3481	6.96000	-10.984
3482	6.96200	-10.951
3483	6.96400	-12.011
3484	6.96600	-9.031
3485	6.96800	-8.475
3486	6.97000	-6.401
3487	6.97200	-5.459
3488	6.97400	-8.735
3489	6.97600	-7.538
3490	6.97800	-4.833
3491	6.98000	-4.479
3492	6.98200	-5.736
3493	6.98400	-1.767
3494	6.98600	1.620
3495	6.98800	-1.296
3496	6.99000	-1.674
3497	6.99200	0.777
3498	6.99400	0.124
3499	6.99600	-1.374
3500	6.99800	1.171
3501	7.00000	3.933
3502	7.00200	4.371
3503	7.00400	3.778
3504	7.00600	2.489
3505	7.00800	2.598
3506	7.01000	2.773
3507	7.01200	5.738
3508	7.01400	6.809
3509	7.01600	5.685
3510	7.01800	6.253
3511	7.02000	7.520
3512	7.02200	7.675
3513	7.02400	5.569
3514	7.02600	5.809
3515	7.02800	5.685
3516	7.03000	4.600
3517	7.03200	2.932
3518	7.03400	3.671
3519	7.03600	3.313
3520	7.03800	5.542
3521	7.04000	4.678
3522	7.04200	-0.105
3523	7.04400	-0.289
3524	7.04600	3.405
3525	7.04800	1.538
3526	7.05000	-0.068
3527	7.05200	-0.153
3528	7.05400	-3.334
3529	7.05600	-0.947
3530	7.05800	-0.786
3531	7.06000	-4.243
3532	7.06200	-2.600
3533	7.06400	-3.416
3534	7.06600	-5.932
3535	7.06800	-4.407
3536	7.07000	-5.481
3537	7.07200	-6.779
3538	7.07400	-9.404
3539	7.07600	-11.036
3540	7.07800	-11.024
3541	7.08000	-9.132
3542	7.08200	-10.433
3543	7.08400	-13.089
3544	7.08600	-13.673
3545	7.08800	-12.659
3546	7.09000	-11.800
3547	7.09200	-12.230
3548	7.09400	-12.279
3549	7.09600	-13.963
3550	7.09800	-12.328
3551	7.10000	-11.530
3552	7.10200	-13.930
3553	7.10400	-15.104
3554	7.10600	-14.015
3555	7.10800	-11.344
3556	7.11000	-11.274
