NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:22:16
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z

Frame	Time	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z	
2954	5.90600	-180.758	-27.335	-0.397
2955	5.90800	-180.572	-27.322	-0.359
2956	5.91000	-180.205	-27.015	-0.727
2957	5.91200	-180.140	-26.769	-1.208
2958	5.91400	-180.013	-26.856	-0.918
2959	5.91600	-180.052	-27.159	-0.722
2960	5.91800	-180.013	-27.174	-1.170
2961	5.92000	-179.766	-27.278	-0.620
2962	5.92200	-179.657	-27.521	0.237
2963	5.92400	-179.661	-27.669	0.116
2964	5.92600	-179.385	-28.052	0.530
2965	5.92800	-179.473	-28.436	0.983
2966	5.93000	-179.582	-28.563	0.894
2967	5.93200	-179.397	-28.738	0.928
2968	5.93400	-179.494	-28.975	1.087
2969	5.93600	-179.313	-29.077	0.994
2970	5.93800	-179.101	-28.969	0.475
2971	5.94000	-179.343	-28.952	0.656
2972	5.94200	-179.578	-29.020	0.498
2973	5.94400	-179.571	-28.735	-0.697
2974	5.94600	-179.523	-28.520	-0.644
2975	5.94800	-179.508	-28.345	-0.815
2976	5.95000	-179.512	-28.019	-1.627
2977	5.95200	-179.413	-27.795	-1.920
2978	5.95400	-179.396	-27.683	-1.942
2979	5.95600	-179.477	-27.685	-1.897
2980	5.95800	-179.565	-27.610	-1.734
2981	5.96000	-179.719	-27.705	-1.173
2982	5.96200	-179.578	-27.819	-0.799
2983	5.96400	-179.523	-27.782	-0.476
2984	5.96600	-179.755	-28.012	0.226
2985	5.96800	-179.619	-28.215	0.656
2986	5.97000	-179.511	-28.185	0.612
2987	5.97200	-179.517	-28.339	1.304
2988	5.97400	-179.494	-28.629	1.776
2989	5.97600	-179.813	-28.643	1.546
2990	5.97800	-179.550	-28.500	1.502
2991	5.98000	-179.350	-28.522	1.814
2992	5.98200	-179.525	-28.374	1.957
2993	5.98400	-179.370	-27.951	1.197
2994	5.98600	-179.450	-27.834	1.051
2995	5.98800	-179.415	-27.526	1.005
2996	5.99000	-179.282	-27.065	0.303
2997	5.99200	-179.535	-27.099	0.587
2998	5.99400	-179.648	-26.990	0.459
2999	5.99600	-179.664	-26.608	-0.297
3000	5.99800	-179.652	-26.567	-0.472
3001	6.00000	-179.530	-26.701	-0.255
3002	6.00200	-179.614	-26.737	-0.277
3003	6.00400	-179.502	-26.887	-0.028
3004	6.00600	-179.515	-27.280	0.462
3005	6.00800	-179.469	-27.576	0.479
3006	6.01000	-179.355	-27.684	0.623
3007	6.01200	-179.654	-28.109	1.104
3008	6.01400	-179.537	-28.355	1.431
3009	6.01600	-179.463	-28.388	1.050
3010	6.01800	-179.638	-28.699	1.012
3011	6.02000	-179.440	-28.816	1.399
3012	6.02200	-179.721	-28.852	1.076
3013	6.02400	-179.536	-28.960	0.613
3014	6.02600	-179.164	-28.953	0.450
3015	6.02800	-179.657	-28.753	0.125
3016	6.03000	-179.323	-28.311	-0.463
