NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:19:27
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel

Frame	Time	Puck1 - 2_vel	
3111	6.22000	50.210
3112	6.22200	49.867
3113	6.22400	49.815
3114	6.22600	49.675
3115	6.22800	49.400
3116	6.23000	49.141
3117	6.23200	48.820
3118	6.23400	48.585
3119	6.23600	48.325
3120	6.23800	47.841
3121	6.24000	47.262
3122	6.24200	46.819
3123	6.24400	46.761
3124	6.24600	46.737
3125	6.24800	46.521
3126	6.25000	46.133
3127	6.25200	45.565
3128	6.25400	45.171
3129	6.25600	45.180
3130	6.25800	45.372
3131	6.26000	45.442
3132	6.26200	45.458
3133	6.26400	45.418
3134	6.26600	45.022
3135	6.26800	44.430
3136	6.27000	43.947
3137	6.27200	43.331
3138	6.27400	42.693
3139	6.27600	42.366
3140	6.27800	42.028
3141	6.28000	41.719
3142	6.28200	41.420
3143	6.28400	41.141
3144	6.28600	41.021
3145	6.28800	40.857
3146	6.29000	40.705
3147	6.29200	40.483
3148	6.29400	40.278
3149	6.29600	40.169
3150	6.29800	40.041
3151	6.30000	40.042
3152	6.30200	40.305
3153	6.30400	40.477
3154	6.30600	40.405
3155	6.30800	40.385
3156	6.31000	40.353
3157	6.31200	40.232
3158	6.31400	40.092
3159	6.31600	39.818
3160	6.31800	39.630
3161	6.32000	39.688
3162	6.32200	39.727
3163	6.32400	39.751
3164	6.32600	39.821
3165	6.32800	40.011
3166	6.33000	40.171
3167	6.33200	40.134
3168	6.33400	40.263
3169	6.33600	40.367
3170	6.33800	40.321
3171	6.34000	40.249
3172	6.34200	40.195
3173	6.34400	40.333
3174	6.34600	40.495
3175	6.34800	40.638
3176	6.35000	40.613
3177	6.35200	40.418
3178	6.35400	40.294
3179	6.35600	40.194
3180	6.35800	40.091
3181	6.36000	39.968
3182	6.36200	39.530
3183	6.36400	39.046
3184	6.36600	38.953
3185	6.36800	39.196
3186	6.37000	39.247
3187	6.37200	39.016
3188	6.37400	39.159
3189	6.37600	39.723
3190	6.37800	40.791
3191	6.38000	42.423
3192	6.38200	44.541
3193	6.38400	47.767
3194	6.38600	52.028
3195	6.38800	56.905
3196	6.39000	62.586
3197	6.39200	69.162
3198	6.39400	76.285
3199	6.39600	83.576
3200	6.39800	91.388
3201	6.40000	99.613
3202	6.40200	107.729
3203	6.40400	115.942
3204	6.40600	124.592
3205	6.40800	133.298
3206	6.41000	141.797
3207	6.41200	150.159
3208	6.41400	158.747
3209	6.41600	167.380
3210	6.41800	175.209
3211	6.42000	182.908
3212	6.42200	190.768
3213	6.42400	198.229
3214	6.42600	205.028
3215	6.42800	211.078
3216	6.43000	216.493
3217	6.43200	221.579
3218	6.43400	226.481
3219	6.43600	229.508
3220	6.43800	232.355
3221	6.44000	235.558
3222	6.44200	236.410
3223	6.44400	237.544
3224	6.44600	237.923
3225	6.44800	236.001
3226	6.45000	235.013
3227	6.45200	233.638
3228	6.45400	230.660
3229	6.45600	228.106
3230	6.45800	226.787
3231	6.46000	225.899
3232	6.46200	224.804
3233	6.46400	224.383
3234	6.46600	224.273
3235	6.46800	224.548
3236	6.47000	225.130
3237	6.47200	224.543
3238	6.47400	224.609
3239	6.47600	225.276
3240	6.47800	225.186
3241	6.48000	225.018
3242	6.48200	225.281
3243	6.48400	225.903
3244	6.48600	225.873
3245	6.48800	225.961
3246	6.49000	226.136
3247	6.49200	226.095
3248	6.49400	226.319
3249	6.49600	226.508
3250	6.49800	226.577
3251	6.50000	226.514
3252	6.50200	226.635
3253	6.50400	227.007
3254	6.50600	227.269
3255	6.50800	227.295
3256	6.51000	227.263
3257	6.51200	227.328
3258	6.51400	227.823
3259	6.51600	227.845
3260	6.51800	227.200
3261	6.52000	227.658
3262	6.52200	228.128
3263	6.52400	227.908
3264	6.52600	227.780
3265	6.52800	227.655
3266	6.53000	228.040
3267	6.53200	228.156
3268	6.53400	228.020
3269	6.53600	227.834
3270	6.53800	228.533
3271	6.54000	228.582
3272	6.54200	227.734
3273	6.54400	228.664
3274	6.54600	228.102
3275	6.54800	227.514
3276	6.55000	229.148
3277	6.55200	228.614
3278	6.55400	227.704
3279	6.55600	228.818
3280	6.55800	229.388
3281	6.56000	229.061
3282	6.56200	228.817
3283	6.56400	229.295
3284	6.56600	229.822
3285	6.56800	229.821
3286	6.57000	229.615
3287	6.57200	229.556
3288	6.57400	229.892
3289	6.57600	229.772
3290	6.57800	229.785
3291	6.58000	229.866
3292	6.58200	230.019
3293	6.58400	230.265
3294	6.58600	229.722
3295	6.58800	229.784
3296	6.59000	229.905
3297	6.59200	230.000
3298	6.59400	230.373
3299	6.59600	230.051
3300	6.59800	229.896
3301	6.60000	230.437
3302	6.60200	230.512
3303	6.60400	230.250
3304	6.60600	230.404
3305	6.60800	230.559
3306	6.61000	230.598
3307	6.61200	230.556
3308	6.61400	230.446
3309	6.61600	230.290
3310	6.61800	230.153
3311	6.62000	230.320
3312	6.62200	230.314
3313	6.62400	230.157
3314	6.62600	229.995
3315	6.62800	230.017
3316	6.63000	230.314
3317	6.63200	229.577
3318	6.63400	229.267
3319	6.63600	229.766
3320	6.63800	229.654
3321	6.64000	229.305
3322	6.64200	229.130
3323	6.64400	228.722
3324	6.64600	228.829
3325	6.64800	230.043
3326	6.65000	229.905
3327	6.65200	228.852
3328	6.65400	229.443
3329	6.65600	230.465
3330	6.65800	229.884
3331	6.66000	229.393
3332	6.66200	229.857
3333	6.66400	229.568
3334	6.66600	229.408
3335	6.66800	229.409
3336	6.67000	229.058
3337	6.67200	229.174
3338	6.67400	228.990
3339	6.67600	228.863
3340	6.67800	229.278
3341	6.68000	228.937
3342	6.68200	228.916
3343	6.68400	228.964
3344	6.68600	228.358
3345	6.68800	228.676
3346	6.69000	228.743
3347	6.69200	228.317
3348	6.69400	228.377
3349	6.69600	228.305
3350	6.69800	228.183
3351	6.70000	228.027
3352	6.70200	227.677
3353	6.70400	228.013
3354	6.70600	227.925
3355	6.70800	227.401
3356	6.71000	227.681
3357	6.71200	227.561
3358	6.71400	226.999
3359	6.71600	227.041
3360	6.71800	227.150
3361	6.72000	227.006
3362	6.72200	226.896
3363	6.72400	226.673
3364	6.72600	227.057
3365	6.72800	227.196
3366	6.73000	226.784
3367	6.73200	226.667
3368	6.73400	227.106
3369	6.73600	227.519
3370	6.73800	227.172
3371	6.74000	226.917
3372	6.74200	227.047
3373	6.74400	227.357
3374	6.74600	227.676
3375	6.74800	227.670
3376	6.75000	226.965
3377	6.75200	227.061
