NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:18:02
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel

Frame	Time	Pucky - 1_vel	
3251	6.50000	105.302
3252	6.50200	105.206
3253	6.50400	105.221
3254	6.50600	105.187
3255	6.50800	105.130
3256	6.51000	105.114
3257	6.51200	105.390
3258	6.51400	105.272
3259	6.51600	104.978
3260	6.51800	104.895
3261	6.52000	104.888
3262	6.52200	105.095
3263	6.52400	104.980
3264	6.52600	104.643
3265	6.52800	104.510
3266	6.53000	104.544
3267	6.53200	104.703
3268	6.53400	104.848
3269	6.53600	104.622
3270	6.53800	104.519
3271	6.54000	104.653
3272	6.54200	104.734
3273	6.54400	104.756
3274	6.54600	104.608
3275	6.54800	104.633
3276	6.55000	104.748
3277	6.55200	104.971
3278	6.55400	105.040
3279	6.55600	104.685
3280	6.55800	104.238
3281	6.56000	104.441
3282	6.56200	105.073
3283	6.56400	104.880
3284	6.56600	104.431
3285	6.56800	104.354
3286	6.57000	104.664
3287	6.57200	104.771
3288	6.57400	104.545
3289	6.57600	104.548
3290	6.57800	104.541
3291	6.58000	104.582
3292	6.58200	104.300
3293	6.58400	104.080
3294	6.58600	104.232
3295	6.58800	104.059
3296	6.59000	103.707
3297	6.59200	103.845
3298	6.59400	104.019
3299	6.59600	103.823
3300	6.59800	103.619
3301	6.60000	103.462
3302	6.60200	103.709
3303	6.60400	103.820
3304	6.60600	103.536
3305	6.60800	103.571
3306	6.61000	103.587
3307	6.61200	103.470
3308	6.61400	103.111
3309	6.61600	103.061
3310	6.61800	103.403
3311	6.62000	103.381
3312	6.62200	103.167
3313	6.62400	102.811
3314	6.62600	103.144
3315	6.62800	103.709
3316	6.63000	103.285
3317	6.63200	102.549
3318	6.63400	102.580
3319	6.63600	103.028
3320	6.63800	103.103
3321	6.64000	102.663
3322	6.64200	102.297
3323	6.64400	102.390
3324	6.64600	102.541
3325	6.64800	102.466
3326	6.65000	102.245
3327	6.65200	102.266
3328	6.65400	102.386
3329	6.65600	102.322
3330	6.65800	102.414
3331	6.66000	102.541
3332	6.66200	102.137
3333	6.66400	101.851
3334	6.66600	102.429
3335	6.66800	102.897
3336	6.67000	102.763
3337	6.67200	102.291
3338	6.67400	102.134
3339	6.67600	102.604
3340	6.67800	102.823
3341	6.68000	102.314
3342	6.68200	101.847
3343	6.68400	102.211
3344	6.68600	102.773
3345	6.68800	102.461
3346	6.69000	101.988
3347	6.69200	102.200
3348	6.69400	102.354
3349	6.69600	102.261
3350	6.69800	102.122
3351	6.70000	101.927
3352	6.70200	101.834
3353	6.70400	101.806
3354	6.70600	101.592
3355	6.70800	101.631
3356	6.71000	101.724
3357	6.71200	101.773
3358	6.71400	101.738
3359	6.71600	101.768
3360	6.71800	101.922
3361	6.72000	101.647
3362	6.72200	101.411
3363	6.72400	101.455
3364	6.72600	101.941
3365	6.72800	102.249
3366	6.73000	101.834
3367	6.73200	101.354
3368	6.73400	101.598
3369	6.73600	101.964
3370	6.73800	101.683
3371	6.74000	101.225
3372	6.74200	101.147
3373	6.74400	101.219
3374	6.74600	101.192
3375	6.74800	101.177
3376	6.75000	101.039
3377	6.75200	100.789
3378	6.75400	100.629
3379	6.75600	100.796
3380	6.75800	100.855
3381	6.76000	100.624
3382	6.76200	100.650
3383	6.76400	100.872
3384	6.76600	100.853
3385	6.76800	100.534
3386	6.77000	100.416
3387	6.77200	100.548
3388	6.77400	100.561
3389	6.77600	100.436
3390	6.77800	100.341
3391	6.78000	100.313
3392	6.78200	100.239
3393	6.78400	100.199
3394	6.78600	100.202
3395	6.78800	100.066
3396	6.79000	100.114
3397	6.79200	100.335
3398	6.79400	100.464
3399	6.79600	100.328
3400	6.79800	99.924
3401	6.80000	99.758
3402	6.80200	100.073
3403	6.80400	100.609
3404	6.80600	100.734
3405	6.80800	100.648
3406	6.81000	100.438
3407	6.81200	100.165
3408	6.81400	100.075
3409	6.81600	100.057
3410	6.81800	100.046
3411	6.82000	100.051
3412	6.82200	100.385
3413	6.82400	100.622
3414	6.82600	100.476
3415	6.82800	100.008
3416	6.83000	99.476
3417	6.83200	99.648
3418	6.83400	100.128
3419	6.83600	100.409
3420	6.83800	100.536
3421	6.84000	100.455
3422	6.84200	99.988
3423	6.84400	99.629
3424	6.84600	99.891
3425	6.84800	100.096
3426	6.85000	100.044
3427	6.85200	99.696
3428	6.85400	99.507
3429	6.85600	99.794
3430	6.85800	99.490
3431	6.86000	98.960
3432	6.86200	98.685
3433	6.86400	98.579
3434	6.86600	98.863
3435	6.86800	99.180
3436	6.87000	99.244
3437	6.87200	99.031
3438	6.87400	98.406
3439	6.87600	98.132
3440	6.87800	98.444
3441	6.88000	98.632
3442	6.88200	98.745
