NO_OF_FRAMES	1598
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:34:23.998	926997.74098940
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_orgio	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	v43_3g_orgio X	v43_3g_orgio Y	v43_3g_orgio Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
4263	8.52400	402.495	390.578	162.849	458.338	377.769	162.811	408.094	445.182	163.642	525.264	550.880	163.278	577.834	570.775	163.269	504.279	602.004	164.606
4264	8.52600	402.649	391.093	162.903	458.244	377.279	162.882	409.202	445.688	163.605	525.069	550.473	163.206	577.410	571.101	163.258	503.402	601.312	164.577
4265	8.52800	402.754	391.646	162.810	458.066	376.806	162.814	410.282	446.124	163.569	524.946	550.038	163.275	576.964	571.450	163.235	502.546	600.567	164.575
4266	8.53000	402.898	392.164	162.929	457.893	376.358	162.866	411.400	446.396	163.622	524.822	549.589	163.280	576.494	571.739	163.285	501.655	599.813	164.527
4267	8.53200	403.017	392.683	162.873	457.730	375.864	162.876	412.534	446.833	163.588	524.618	549.197	163.211	575.985	572.026	163.275	500.806	599.094	164.544
4268	8.53400	403.141	393.222	162.879	457.542	375.459	162.906	413.658	447.173	163.608	524.491	548.782	163.247	575.539	572.343	163.248	499.939	598.333	164.480
4269	8.53600	403.251	393.727	162.888	457.321	374.987	162.835	414.759	447.452	163.619	524.327	548.347	163.255	575.045	572.666	163.238	499.090	597.524	164.495
4270	8.53800	403.383	394.256	162.880	457.078	374.565	162.898	415.861	447.808	163.577	524.188	547.923	163.246	574.546	572.945	163.274	498.260	596.771	164.449
4271	8.54000	403.506	394.754	162.939	456.846	374.113	162.887	416.946	448.114	163.631	524.047	547.498	163.269	574.016	573.233	163.231	497.412	595.972	164.449
4272	8.54200	403.647	395.352	162.860	456.560	373.704	162.854	418.014	448.367	163.692	523.870	547.081	163.246	573.498	573.513	163.234	496.611	595.158	164.416
4273	8.54400	403.762	395.823	162.940	456.319	373.284	162.915	419.084	448.608	163.645	523.744	546.656	163.270	572.960	573.807	163.271	495.763	594.342	164.416
4274	8.54600	403.919	396.370	162.898	456.000	372.850	162.933	420.170	448.868	163.627	523.603	546.239	163.278	572.416	574.077	163.290	494.961	593.542	164.418
4275	8.54800	404.013	396.874	162.910	455.643	372.477	162.926	421.256	449.094	163.641	523.458	545.806	163.255	571.880	574.349	163.246	494.156	592.703	164.339
4276	8.55000	404.122	397.404	162.903	455.365	372.055	162.954	422.325	449.293	163.674	523.305	545.407	163.233	571.288	574.573	163.279	493.343	591.858	164.387
4277	8.55200	404.262	397.934	162.896	455.015	371.649	162.984	423.386	449.483	163.724	523.143	544.971	163.304	570.745	574.842	163.299	492.551	591.025	164.358
4278	8.55400	404.416	398.424	162.974	454.620	371.303	162.987	424.426	449.663	163.695	523.029	544.521	163.281	570.164	575.120	163.302	491.742	590.147	164.343
4279	8.55600	404.536	399.011	162.850	454.248	370.898	163.014	425.481	449.817	163.685	522.855	544.139	163.229	569.572	575.346	163.273	490.975	589.290	164.266
4280	8.55800	404.665	399.474	162.949	453.877	370.545	163.033	426.528	449.963	163.691	522.702	543.713	163.285	568.956	575.562	163.319	490.197	588.429	164.254
4281	8.56000	404.824	400.038	162.874	453.436	370.206	163.019	427.575	450.056	163.700	522.552	543.297	163.232	568.321	575.787	163.321	489.385	587.524	164.286
4282	8.56200	404.891	400.525	162.925	453.004	369.851	163.006	428.576	450.156	163.694	522.410	542.872	163.257	567.735	576.023	163.306	488.671	586.622	164.226
4283	8.56400	405.017	401.054	162.887	452.581	369.524	163.004	429.594	450.239	163.658	522.273	542.412	163.312	567.094	576.245	163.370	487.869	585.709	164.213
4284	8.56600	405.173	401.576	162.899	452.113	369.198	163.067	430.588	450.321	163.622	522.111	542.023	163.213	566.450	576.446	163.322	487.101	584.814	164.171
4285	8.56800	405.233	402.056	162.964	451.622	368.878	163.046	431.574	450.377	163.603	521.953	541.597	163.238	565.804	576.616	163.352	486.392	583.912	164.144
4286	8.57000	405.386	402.634	162.827	451.111	368.567	163.043	432.568	450.416	163.585	521.820	541.164	163.248	565.140	576.808	163.350	485.638	582.955	164.116
4287	8.57200	405.507	403.091	162.974	450.640	368.285	163.080	433.554	450.447	163.583	521.645	540.756	163.212	564.450	577.007	163.364	484.882	582.007	164.105
4288	8.57400	405.661	403.668	162.805	450.112	367.987	163.151	434.517	450.468	163.566	521.507	540.322	163.285	563.783	577.203	163.380	484.158	581.052	164.077
4289	8.57600	405.757	404.142	162.952	449.552	367.743	163.071	435.472	450.453	163.552	521.347	539.897	163.248	563.092	577.375	163.410	483.443	580.121	164.039
4290	8.57800	405.877	404.669	162.854	448.970	367.470	163.124	436.403	450.430	163.555	521.200	539.472	163.243	562.367	577.538	163.391	482.711	579.182	164.016
4291	8.58000	406.002	405.209	162.866	448.484	367.225	163.185	437.336	450.398	163.542	521.035	539.065	163.269	561.704	577.702	163.373	481.981	578.226	163.961
4292	8.58200	406.093	405.680	162.950	447.843	367.026	163.147	438.269	450.357	163.513	520.875	538.640	163.234	561.005	577.841	163.399	481.289	577.244	163.922
4293	8.58400	406.206	406.260	162.845	447.290	366.788	163.158	439.177	450.317	163.516	520.720	538.232	163.229	560.268	577.976	163.426	480.593	576.251	163.931
4294	8.58600	406.326	406.732	162.962	446.678	366.567	163.200	440.092	450.223	163.524	520.562	537.825	163.256	559.525	578.120	163.438	479.885	575.250	163.894
4295	8.58800	406.447	407.295	162.861	446.005	366.369	163.193	440.970	450.129	163.531	520.422	537.357	163.267	558.774	578.246	163.451	479.236	574.268	163.889
4296	8.59000	406.546	407.782	162.913	445.427	366.184	163.227	441.855	450.009	163.524	520.239	536.974	163.217	558.040	578.383	163.446	478.580	573.268	163.884
4297	8.59200	406.703	408.296	162.912	444.755	366.031	163.228	442.740	449.880	163.534	520.090	536.549	163.244	557.282	578.475	163.455	477.917	572.241	163.864
4298	8.59400	406.828	408.834	162.894	444.092	365.899	163.253	443.602	449.742	163.529	519.927	536.106	163.241	556.523	578.568	163.463	477.278	571.206	163.830
4299	8.59600	406.935	409.322	162.946	443.452	365.766	163.279	444.466	449.612	163.507	519.760	535.708	163.191	555.749	578.659	163.472	476.614	570.178	163.813
4300	8.59800	407.048	409.876	162.863	442.786	365.632	163.308	445.313	449.439	163.505	519.621	535.268	163.278	554.979	578.752	163.450	475.967	569.143	163.781
4301	8.60000	407.140	410.347	162.917	442.060	365.491	163.350	446.130	449.274	163.485	519.472	534.850	163.199	554.199	578.835	163.443	475.343	568.089	163.751
4302	8.60200	407.243	410.894	162.883	441.320	365.365	163.358	446.962	449.074	163.467	519.270	534.433	163.212	553.394	578.875	163.448	474.717	567.054	163.751
4303	8.60400	407.385	411.388	162.856	440.612	365.292	163.357	447.738	448.881	163.468	519.135	534.026	163.240	552.596	578.922	163.471	474.086	566.009	163.708
4304	8.60600	407.482	411.922	162.952	439.945	365.254	163.318	448.516	448.672	163.467	518.991	533.584	163.206	551.775	578.986	163.494	473.498	564.955	163.712
4305	8.60800	407.619	412.432	162.859	439.202	365.201	163.378	449.280	448.453	163.420	518.828	533.177	163.203	550.949	579.032	163.486	472.881	563.893	163.699
4306	8.61000	407.725	412.938	162.942	438.403	365.139	163.456	450.027	448.217	163.406	518.656	532.780	163.215	550.145	579.072	163.491	472.300	562.803	163.705
4307	8.61200	407.814	413.456	162.835	437.642	365.137	163.442	450.775	447.981	163.391	518.523	532.311	163.228	549.308	579.103	163.511	471.721	561.724	163.695
4308	8.61400	407.951	413.982	162.947	436.926	365.126	163.447	451.520	447.702	163.427	518.277	531.917	163.198	548.478	579.106	163.546	471.151	560.644	163.657
4309	8.61600	408.048	414.483	162.872	436.140	365.142	163.462	452.234	447.421	163.433	518.170	531.504	163.272	547.626	579.118	163.566	470.602	559.547	163.648
4310	8.61800	408.133	415.032	162.903	435.343	365.168	163.524	452.955	447.176	163.369	518.073	531.087	163.226	546.767	579.111	163.586	470.038	558.449	163.644
4311	8.62000	408.258	415.510	162.911	434.533	365.218	163.534	453.597	446.868	163.395	517.821	530.687	163.178	545.900	579.104	163.605	469.505	557.343	163.623
4312	8.62200	408.343	416.077	162.942	433.725	365.262	163.558	454.299	446.572	163.399	517.665	530.238	163.282	545.044	579.081	163.592	468.978	556.237	163.635
4313	8.62400	408.446	416.545	162.935	432.900	365.323	163.611	454.937	446.264	163.390	517.501	529.838	163.205	544.152	579.048	163.625	468.423	555.139	163.603
4314	8.62600	408.583	417.094	162.970	432.078	365.425	163.579	455.569	445.965	163.365	517.269	529.366	163.283	543.262	579.006	163.642	467.927	554.025	163.600
4315	8.62800	408.656	417.571	162.945	431.269	365.555	163.591	456.200	445.615	163.373	517.148	529.017	163.246	542.380	578.948	163.658	467.402	552.917	163.588
4316	8.63000	408.756	418.146	162.961	430.448	365.698	163.681	456.776	445.281	163.381	517.066	528.601	163.201	541.481	578.898	163.690	466.898	551.794	163.603
4317	8.63200	408.828	418.614	162.955	429.592	365.829	163.723	457.377	444.947	163.359	516.797	528.118	163.266	540.593	578.814	163.688	466.395	550.670	163.592
4318	8.63400	408.937	419.181	162.986	428.716	365.967	163.715	457.931	444.586	163.354	516.607	527.791	163.217	539.685	578.701	163.732	465.908	549.546	163.580
4319	8.63600	409.000	419.666	162.948	427.822	366.116	163.753	458.479	444.217	163.332	516.459	527.295	163.311	538.779	578.580	163.761	465.428	548.405	163.570
4320	8.63800	409.124	420.199	163.014	426.975	366.318	163.783	459.025	443.839	163.328	516.243	526.890	163.214	537.871	578.468	163.805	464.964	547.263	163.562
4321	8.64000	409.206	420.709	162.927	426.096	366.554	163.808	459.525	443.461	163.323	516.146	526.530	163.259	536.951	578.354	163.820	464.515	546.113	163.539
4322	8.64200	409.367	421.183	163.076	425.246	366.770	163.770	460.031	443.073	163.337	516.011	526.016	163.292	536.026	578.243	163.802	464.044	544.980	163.518
4323	8.64400	409.442	421.726	162.923	424.330	367.014	163.776	460.493	442.668	163.318	515.724	525.673	163.203	535.121	578.131	163.815	463.619	543.813	163.498
4324	8.64600	409.526	422.225	163.026	423.448	367.288	163.860	460.979	442.263	163.300	515.583	525.259	163.311	534.172	577.992	163.812	463.186	542.663	163.479
4325	8.64800	409.614	422.752	162.938	422.516	367.515	163.870	461.430	441.850	163.331	515.429	524.776	163.199	533.221	577.828	163.821	462.789	541.495	163.494
4326	8.65000	409.667	423.283	162.978	421.637	367.826	163.799	461.845	441.418	163.331	515.248	524.419	163.233	532.278	577.627	163.923	462.379	540.327	163.478
4327	8.65200	409.753	423.770	163.003	420.780	368.179	163.854	462.276	441.012	163.313	515.073	523.926	163.294	531.316	577.420	163.975	461.968	539.142	163.464
4328	8.65400	409.818	424.333	162.913	419.843	368.476	163.850	462.677	440.572	163.297	514.910	523.526	163.188	530.373	577.240	163.983	461.603	537.965	163.467
4329	8.65600	409.915	424.780	163.054	418.960	368.808	163.841	463.066	440.123	163.331	514.712	523.159	163.240	529.385	577.049	163.975	461.216	536.798	163.456
4330	8.65800	409.984	425.367	162.882	418.073	369.185	163.876	463.455	439.708	163.265	514.545	522.676	163.191	528.413	576.805	163.967	460.852	535.603	163.432
4331	8.66000	410.199	425.832	163.021	417.106	369.542	163.846	463.784	439.250	163.283	514.467	522.304	163.194	527.476	576.535	164.003	460.531	534.418	163.455
