NO_OF_FRAMES	1453
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:41:31.017	927424.75938200
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_origo	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	v43_3g_origo X	v43_3g_origo Y	v43_3g_origo Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
3433	6.86400	270.877	421.819	162.989	325.762	405.932	163.075	279.587	476.068	163.687	512.359	610.913	163.441	521.454	666.215	165.029	457.912	620.671	163.641
3434	6.86600	270.861	421.978	162.972	326.010	407.153	163.055	278.574	476.446	163.729	511.848	610.418	163.455	520.981	665.615	164.802	457.481	620.171	163.602
3435	6.86800	270.863	422.129	163.002	326.291	408.372	163.033	277.494	476.754	163.837	511.333	609.947	163.428	520.515	665.050	164.520	456.864	619.688	163.649
3436	6.87000	270.864	422.280	163.033	326.562	409.626	162.979	276.337	476.980	163.745	510.842	609.491	163.497	520.140	664.471	164.521	456.441	619.186	163.612
3437	6.87200	270.859	422.448	163.061	326.772	410.864	162.960	275.173	477.272	163.613	510.297	608.997	163.449	519.737	663.971	164.253	455.841	618.697	163.609
3438	6.87400	270.860	422.643	163.071	326.936	412.130	162.985	274.153	477.575	163.624	509.794	608.534	163.471	519.404	663.382	164.240	455.400	618.210	163.637
3439	6.87600	270.827	422.854	163.017	327.109	413.404	163.025	273.174	477.793	163.735	509.291	608.054	163.490	519.071	662.891	164.074	454.862	617.714	163.620
3440	6.87800	270.812	423.012	162.999	327.282	414.622	162.978	272.146	477.941	163.789	508.756	607.585	163.432	518.790	662.309	164.020	454.349	617.233	163.695
3441	6.88000	270.789	423.163	162.999	327.456	415.858	162.961	271.037	478.115	163.763	508.280	607.111	163.501	518.466	661.847	164.014	453.844	616.730	163.631
3442	6.88200	270.774	423.330	162.996	327.605	417.105	162.962	269.935	478.324	163.704	507.730	606.634	163.426	518.089	661.350	164.063	453.279	616.232	163.674
3443	6.88400	270.768	423.499	163.025	327.731	418.391	163.056	268.873	478.497	163.678	507.240	606.154	163.477	517.701	660.906	164.148	452.820	615.755	163.628
3444	6.88600	270.762	423.686	163.052	327.835	419.658	163.121	267.819	478.618	163.655	506.739	605.691	163.468	517.228	660.471	164.217	452.249	615.231	163.656
3445	6.88800	270.740	423.863	163.064	327.862	420.886	163.125	266.743	478.720	163.663	506.201	605.205	163.439	516.787	659.997	164.263	451.785	614.789	163.672
3446	6.89000	270.731	424.030	163.031	327.874	422.112	163.067	265.667	478.795	163.687	505.734	604.740	163.496	516.233	659.569	164.265	451.232	614.255	163.655
3447	6.89200	270.707	424.180	163.000	327.878	423.348	163.057	264.567	478.854	163.682	505.167	604.255	163.435	515.729	659.063	164.304	450.745	613.779	163.668
3448	6.89400	270.684	424.349	162.998	327.898	424.649	163.121	263.522	478.894	163.709	504.686	603.782	163.474	515.171	658.613	164.255	450.216	613.290	163.640
3449	6.89600	270.662	424.518	163.027	327.910	425.949	163.156	262.491	478.918	163.707	504.146	603.321	163.464	514.663	658.131	164.343	449.720	612.786	163.666
3450	6.89800	270.648	424.722	163.052	327.787	427.223	163.152	261.445	478.931	163.687	503.647	602.835	163.437	514.099	657.665	164.260	449.166	612.316	163.668
3451	6.90000	270.657	424.907	163.048	327.675	428.485	163.099	260.413	478.909	163.671	503.135	602.380	163.478	513.607	657.165	164.348	448.689	611.794	163.635
3452	6.90200	270.657	425.065	163.030	327.594	429.756	163.060	259.382	478.886	163.654	502.620	601.885	163.435	513.040	656.733	164.301	448.134	611.333	163.652
3453	6.90400	270.641	425.214	162.998	327.514	431.019	163.071	258.350	478.847	163.638	502.094	601.422	163.459	512.546	656.218	164.325	447.626	610.819	163.637
3454	6.90600	270.603	425.347	163.000	327.396	432.274	163.099	257.320	478.773	163.656	501.614	600.959	163.484	511.969	655.785	164.310	447.118	610.360	163.622
3455	6.90800	270.605	425.490	163.048	327.230	433.523	163.181	256.281	478.681	163.674	501.066	600.447	163.469	511.461	655.323	164.310	446.561	609.861	163.671
