NO_OF_FRAMES	1406
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 15:40:10.855	941744.55889980
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i inelastisk stöt 27.7g vs 82.4g (Faulty)
MARKER_NAMES	h82_4g	v27_7g
COLLISION_TIME	1.21
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	h82_4g X	h82_4g Y	h82_4g Z	v27_7g X	v27_7g Y	v27_7g Z	
14585	29.16800	582.000	538.267	180.016	550.879	289.558	164.659
14586	29.17000	581.756	538.072	179.982	550.691	289.718	164.610
14587	29.17200	581.538	537.828	179.975	550.508	289.893	164.594
14588	29.17400	581.263	537.568	180.048	550.149	290.078	164.695
14589	29.17600	580.969	537.352	180.015	549.853	290.231	164.732
14590	29.17800	580.732	537.160	179.948	549.633	290.373	164.687
14591	29.18000	580.534	536.948	179.975	549.469	290.535	164.628
14592	29.18200	580.243	536.726	179.955	549.028	290.673	164.656
14593	29.18400	579.945	536.439	180.044	548.753	290.819	164.711
14594	29.18600	579.727	536.230	180.007	548.601	291.015	164.722
14595	29.18800	579.465	536.018	180.003	548.396	291.212	164.694
14596	29.19000	579.210	535.824	179.968	548.035	291.348	164.692
14597	29.19200	578.944	535.589	180.028	547.709	291.459	164.677
14598	29.19400	578.711	535.286	180.064	547.551	291.613	164.637
14599	29.19600	578.423	535.090	180.030	547.301	291.795	164.611
14600	29.19800	578.164	534.876	179.997	546.927	291.969	164.664
14601	29.20000	577.914	534.656	180.008	546.670	292.122	164.773
14602	29.20200	577.672	534.428	180.002	546.419	292.274	164.740
14603	29.20400	577.358	534.171	180.042	546.223	292.434	164.690
14604	29.20600	577.073	533.955	180.011	545.960	292.563	164.673
14605	29.20800	576.865	533.771	179.991	545.632	292.710	164.718
14606	29.21000	576.618	533.566	179.974	545.363	292.899	164.744
14607	29.21200	576.335	533.318	180.000	545.154	293.088	164.736
14608	29.21400	576.023	533.033	180.058	544.902	293.230	164.720
14609	29.21600	575.843	532.834	179.975	544.476	293.351	164.716
14610	29.21800	575.552	532.619	179.973	544.236	293.484	164.692
14611	29.22000	575.255	532.397	179.986	544.098	293.632	164.634
14612	29.22200	575.018	532.161	179.995	543.823	293.805	164.663
14613	29.22400	574.763	531.890	180.034	543.440	293.979	164.716
14614	29.22600	574.474	531.657	179.972	543.203	294.143	164.689
14615	29.22800	574.213	531.462	179.969	543.006	294.313	164.653
14616	29.23000	573.978	531.252	179.965	542.735	294.442	164.599
14617	29.23200	573.707	531.014	179.944	542.331	294.568	164.618
14618	29.23400	573.383	530.737	180.018	542.155	294.709	164.648
14619	29.23600	573.123	530.550	179.939	541.908	294.923	164.694
14620	29.23800	572.915	530.341	179.935	541.672	295.086	164.710
14621	29.24000	572.636	530.137	179.916	541.366	295.222	164.745
14622	29.24200	572.329	529.902	179.977	541.040	295.367	164.687
14623	29.24400	572.089	529.615	180.017	540.830	295.517	164.624
14624	29.24600	571.864	529.411	179.968	540.666	295.701	164.590
14625	29.24800	571.606	529.206	179.952	540.241	295.872	164.648
14626	29.25000	571.327	528.985	179.934	539.935	296.045	164.712
14627	29.25200	571.084	528.759	179.989	539.735	296.179	164.687
14628	29.25400	570.804	528.491	180.018	539.617	296.335	164.645
14629	29.25600	570.512	528.275	179.987	539.206	296.466	164.656
14630	29.25800	570.268	528.082	179.953	538.892	296.607	164.684
14631	29.26000	570.018	527.871	179.950	538.741	296.800	164.666
14632	29.26200	569.728	527.639	179.979	538.531	297.009	164.685
14633	29.26400	569.418	527.368	180.041	538.105	297.160	164.682
14634	29.26600	569.203	527.163	179.971	537.799	297.273	164.701
14635	29.26800	568.937	526.948	179.972	537.661	297.403	164.648
14636	29.27000	568.688	526.744	179.954	537.425	297.583	164.624
14637	29.27200	568.407	526.504	180.029	537.085	297.726	164.683
14638	29.27400	568.154	526.243	180.054	536.807	297.909	164.756
14639	29.27600	567.880	526.035	180.009	536.565	298.103	164.698
14640	29.27800	567.614	525.822	179.977	536.370	298.263	164.649
14641	29.28000	567.387	525.611	179.974	536.051	298.387	164.603
14642	29.28200	567.123	525.374	180.017	535.691	298.516	164.654
14643	29.28400	566.812	525.122	180.078	535.463	298.690	164.683
14644	29.28600	566.553	524.917	180.000	535.289	298.890	164.723
14645	29.28800	566.345	524.698	179.983	535.088	299.040	164.768
14646	29.29000	566.067	524.486	179.950	534.675	299.153	164.784
14647	29.29200	565.771	524.245	180.025	534.422	299.308	164.708
14648	29.29400	565.528	523.981	180.053	534.286	299.473	164.646
14649	29.29600	565.284	523.769	179.990	534.015	299.640	164.651
14650	29.29800	565.015	523.566	179.973	533.578	299.821	164.688
14651	29.30000	564.748	523.343	179.988	533.346	299.974	164.726
14652	29.30200	564.514	523.090	180.030	533.237	300.131	164.684
14653	29.30400	564.237	522.842	180.028	532.968	300.266	164.657
14654	29.30600	563.954	522.627	179.967	532.583	300.377	164.678
14655	29.30800	563.728	522.432	179.936	532.357	300.532	164.672
14656	29.31000	563.497	522.214	179.948	532.177	300.747	164.677
14657	29.31200	563.201	521.973	179.963	531.961	300.930	164.722
14658	29.31400	562.869	521.694	180.011	531.523	301.061	164.692
14659	29.31600	562.676	521.493	179.932	531.284	301.190	164.710
14660	29.31800	562.415	521.280	179.931	531.074	301.344	164.677
14661	29.32000	562.142	521.077	179.914	530.882	301.506	164.661
14662	29.32200	561.863	520.819	179.991	530.548	301.670	164.739
14663	29.32400	561.641	520.575	180.018	530.240	301.852	164.820
14664	29.32600	561.366	520.368	179.973	530.042	302.018	164.756
14665	29.32800	561.074	520.157	179.940	529.857	302.175	164.677
14666	29.33000	560.837	519.927	179.971	529.497	302.304	164.653
14667	29.33200	560.598	519.699	179.999	529.135	302.454	164.659
14668	29.33400	560.296	519.439	180.046	528.939	302.628	164.689
14669	29.33600	559.976	519.243	179.953	528.799	302.826	164.734
14670	29.33800	559.776	519.033	179.952	528.477	302.970	164.791
14671	29.34000	559.510	518.829	179.936	528.124	303.089	164.794
14672	29.34200	559.256	518.587	180.015	527.911	303.227	164.723
14673	29.34400	558.943	518.332	180.059	527.802	303.385	164.681
14674	29.34600	558.713	518.112	179.981	527.452	303.554	164.716
14675	29.34800	558.452	517.907	179.966	527.016	303.752	164.750
14676	29.35000	558.193	517.683	179.984	526.871	303.909	164.743
14677	29.35200	557.952	517.431	180.027	526.666	304.063	164.711
14678	29.35400	557.660	517.173	180.042	526.398	304.186	164.708
14679	29.35600	557.400	516.983	179.999	526.035	304.304	164.713
14680	29.35800	557.157	516.763	179.953	525.873	304.468	164.691
14681	29.36000	556.925	516.545	179.965	525.653	304.686	164.690
14682	29.36200	556.594	516.295	180.028	525.347	304.864	164.741
14683	29.36400	556.297	516.051	180.078	524.965	305.011	164.713
14684	29.36600	556.088	515.860	179.983	524.743	305.152	164.671
14685	29.36800	555.802	515.648	179.983	524.544	305.297	164.658
14686	29.37000	555.534	515.434	179.983	524.310	305.439	164.686
14687	29.37200	555.270	515.185	180.078	523.980	305.616	164.810
14688	29.37400	555.003	514.942	180.104	523.682	305.799	164.853
14689	29.37600	554.715	514.736	180.029	523.489	305.957	164.773
14690	29.37800	554.430	514.531	180.014	523.280	306.103	164.754
14691	29.38000	554.200	514.294	180.030	522.814	306.243	164.705
14692	29.38200	553.918	514.050	180.088	522.557	306.410	164.675
14693	29.38400	553.608	513.806	180.107	522.429	306.589	164.691
14694	29.38600	553.343	513.610	180.016	522.170	306.772	164.771
14695	29.38800	553.117	513.391	180.000	521.776	306.910	164.802
14696	29.39000	552.818	513.180	179.999	521.524	307.035	164.799
14697	29.39200	552.524	512.921	180.078	521.393	307.182	164.744
14698	29.39400	552.268	512.675	180.109	521.123	307.343	164.729
14699	29.39600	552.008	512.472	180.032	520.689	307.521	164.737
14700	29.39800	551.724	512.260	180.001	520.472	307.715	164.789
14701	29.40000	551.471	512.037	180.019	520.273	307.888	164.786
14702	29.40200	551.260	511.775	180.080	520.044	308.029	164.744
14703	29.40400	550.962	511.534	180.098	519.680	308.129	164.754
14704	29.40600	550.641	511.321	180.005	519.459	308.243	164.775
14705	29.40800	550.414	511.119	179.960	519.214	308.433	164.767
14706	29.41000	550.159	510.890	179.992	519.021	308.632	164.776
14707	29.41200	549.857	510.624	180.054	518.684	308.805	164.760
14708	29.41400	549.513	510.391	180.088	518.307	308.945	164.753
14709	29.41600	549.344	510.191	179.979	518.105	309.095	164.691
14710	29.41800	549.058	509.978	179.980	517.967	309.243	164.635
14711	29.42000	548.752	509.767	179.980	517.646	309.370	164.697
14712	29.42200	548.479	509.511	180.058	517.258	309.539	164.768
14713	29.42400	548.250	509.266	180.088	517.080	309.710	164.804
14714	29.42600	547.962	509.060	180.014	516.918	309.888	164.787
14715	29.42800	547.663	508.856	180.000	516.599	310.027	164.748
14716	29.43000	547.434	508.630	179.999	516.156	310.174	164.683
14717	29.43200	547.177	508.383	180.062	516.009	310.331	164.678
14718	29.43400	546.846	508.124	180.080	515.794	310.524	164.702
14719	29.43600	546.565	507.927	179.990	515.497	310.696	164.768
14720	29.43800	546.350	507.726	179.976	515.168	310.823	164.792
14721	29.44000	546.070	507.512	179.978	514.948	310.957	164.802
14722	29.44200	545.742	507.236	180.090	514.746	311.115	164.724
14723	29.44400	545.501	506.991	180.090	514.484	311.265	164.733
14724	29.44600	545.264	506.794	180.032	514.140	311.446	164.701
14725	29.44800	544.988	506.582	180.003	513.853	311.664	164.771
14726	29.45000	544.714	506.362	180.019	513.664	311.834	164.737
14727	29.45200	544.502	506.100	180.082	513.465	311.947	164.724
14728	29.45400	544.195	505.858	180.101	513.086	312.058	164.747
14729	29.45600	543.906	505.651	180.029	512.825	312.202	164.771
14730	29.45800	543.648	505.459	179.967	512.639	312.373	164.772
14731	29.46000	543.410	505.246	180.000	512.468	312.570	164.855
14732	29.46200	543.108	504.981	180.065	512.008	312.758	164.842
14733	29.46400	542.794	504.730	180.101	511.721	312.904	164.788
14734	29.46600	542.573	504.531	180.021	511.577	313.043	164.718
14735	29.46800	542.293	504.317	179.995	511.366	313.186	164.710
14736	29.47000	542.012	504.093	180.016	510.978	313.341	164.740
14737	29.47200	541.752	503.849	180.107	510.703	313.505	164.825
14738	29.47400	541.487	503.594	180.124	510.579	313.683	164.847
14739	29.47600	541.199	503.386	180.054	510.317	313.837	164.849
14740	29.47800	540.949	503.199	180.011	509.898	313.985	164.783
14741	29.48000	540.701	502.974	180.041	509.649	314.138	164.750
14742	29.48200	540.433	502.716	180.092	509.487	314.316	164.734
14743	29.48400	540.105	502.464	180.129	509.273	314.508	164.794
14744	29.48600	539.866	502.270	180.038	508.942	314.669	164.851
14745	29.48800	539.591	502.051	179.993	508.660	314.788	164.892
14746	29.49000	539.338	501.846	180.012	508.439	314.923	164.866
14747	29.49200	539.059	501.580	180.110	508.237	315.064	164.793
14748	29.49400	538.842	501.317	180.113	507.947	315.215	164.761
14749	29.49600	538.529	501.112	180.038	507.558	315.410	164.768
14750	29.49800	538.260	500.899	180.011	507.360	315.617	164.759
14751	29.50000	538.030	500.670	180.046	507.185	315.777	164.714
14752	29.50200	537.781	500.425	180.110	506.945	315.898	164.753
14753	29.50400	537.455	500.167	180.099	506.547	316.011	164.773
14754	29.50600	537.177	499.966	180.014	506.321	316.147	164.781
14755	29.50800	536.951	499.758	179.983	506.193	316.316	164.786
14756	29.51000	536.684	499.546	179.986	505.975	316.503	164.858
14757	29.51200	536.406	499.306	180.068	505.502	316.706	164.811
14758	29.51400	536.117	499.031	180.090	505.264	316.846	164.771
14759	29.51600	535.934	498.839	180.029	505.148	316.994	164.717
14760	29.51800	535.612	498.643	180.002	504.895	317.128	164.730
14761	29.52000	535.337	498.420	180.023	504.476	317.286	164.789
14762	29.52200	535.113	498.176	180.087	504.270	317.451	164.876
14763	29.52400	534.873	497.919	180.139	504.155	317.629	164.897
14764	29.52600	534.520	497.705	180.049	503.846	317.779	164.871
14765	29.52800	534.261	497.518	180.007	503.410	317.948	164.722
14766	29.53000	534.044	497.291	180.040	503.218	318.103	164.686
14767	29.53200	533.760	497.043	180.108	503.048	318.274	164.687
14768	29.53400	533.405	496.766	180.099	502.780	318.449	164.750
14769	29.53600	533.170	496.572	180.040	502.426	318.604	164.817
14770	29.53800	532.932	496.377	180.014	502.233	318.730	164.885
14771	29.54000	532.641	496.165	180.016	501.999	318.883	164.853
14772	29.54200	532.355	495.900	180.114	501.744	319.006	164.818
14773	29.54400	532.141	495.637	180.119	501.462	319.182	164.767
14774	29.54600	531.849	495.422	180.064	501.101	319.390	164.785
14775	29.54800	531.548	495.236	180.020	500.915	319.599	164.808
14776	29.55000	531.302	495.007	180.055	500.727	319.742	164.802
14777	29.55200	531.072	494.770	180.106	500.474	319.861	164.809
14778	29.55400	530.777	494.511	180.129	500.077	319.975	164.828
14779	29.55600	530.439	494.305	180.056	499.869	320.128	164.832
14780	29.55800	530.234	494.113	180.028	499.738	320.307	164.853
14781	29.56000	529.970	493.908	180.018	499.401	320.526	164.884
14782	29.56200	529.678	493.652	180.101	498.981	320.702	164.830
14783	29.56400	529.377	493.372	180.136	498.826	320.850	164.740
14784	29.56600	529.150	493.177	180.078	498.716	321.000	164.718
14785	29.56800	528.850	492.980	180.052	498.350	321.127	164.779
14786	29.57000	528.561	492.778	180.040	497.955	321.278	164.856
14787	29.57200	528.329	492.535	180.103	497.819	321.460	164.942
14788	29.57400	528.036	492.260	180.157	497.603	321.631	164.942
14789	29.57600	527.728	492.052	180.119	497.290	321.769	164.906
14790	29.57800	527.442	491.886	180.042	496.904	321.930	164.779
14791	29.58000	527.214	491.677	180.044	496.738	322.086	164.741
14792	29.58200	526.930	491.418	180.069	496.511	322.277	164.734
14793	29.58400	526.577	491.125	180.124	496.243	322.451	164.835
14794	29.58600	526.351	490.916	180.063	495.913	322.587	164.875
14795	29.58800	526.075	490.737	180.037	495.647	322.714	164.902
14796	29.59000	525.825	490.524	180.044	495.438	322.855	164.828
14797	29.59200	525.537	490.261	180.079	495.206	322.992	164.797
14798	29.59400	525.303	489.981	180.148	494.801	323.199	164.708
14799	29.59600	524.990	489.775	180.108	494.528	323.389	164.737
14800	29.59800	524.656	489.595	180.020	494.386	323.569	164.755
14801	29.60000	524.443	489.377	180.039	494.188	323.703	164.805
14802	29.60200	524.182	489.121	180.030	493.768	323.830	164.791
14803	29.60400	523.908	488.854	180.071	493.495	323.930	164.808
14804	29.60600	523.551	488.641	180.075	493.366	324.089	164.802
14805	29.60800	523.328	488.459	180.029	493.126	324.270	164.853
14806	29.61000	523.055	488.244	180.007	492.727	324.503	164.814
14807	29.61200	522.747	487.988	180.030	492.431	324.655	164.783
14808	29.61400	522.488	487.701	180.080	492.323	324.821	164.726
14809	29.61600	522.231	487.488	180.087	492.056	324.948	164.717
14810	29.61800	521.940	487.308	180.031	491.720	325.072	164.751
14811	29.62000	521.680	487.113	180.005	491.436	325.211	164.822
14812	29.62200	521.448	486.853	180.009	491.232	325.421	164.878
14813	29.62400	521.163	486.586	180.082	490.986	325.590	164.848
14814	29.62600	520.824	486.353	180.059	490.700	325.740	164.785
14815	29.62800	520.557	486.203	180.014	490.370	325.912	164.707
14816	29.63000	520.304	485.983	180.004	490.145	326.066	164.675
14817	29.63200	520.060	485.743	180.029	489.976	326.238	164.677
14818	29.63400	519.761	485.461	180.069	489.719	326.401	164.837
14819	29.63600	519.501	485.235	180.102	489.354	326.559	164.899
14820	29.63800	519.219	485.054	180.048	489.123	326.686	164.893
14821	29.64000	518.928	484.873	180.057	488.970	326.827	164.855
14822	29.64200	518.706	484.604	180.047	488.708	326.971	164.845
14823	29.64400	518.459	484.332	180.101	488.275	327.183	164.783
14824	29.64600	518.141	484.117	180.109	488.065	327.391	164.808
14825	29.64800	517.848	483.936	180.087	487.961	327.568	164.799
14826	29.65000	517.609	483.744	180.028	487.712	327.685	164.886
14827	29.65200	517.351	483.488	180.022	487.271	327.806	164.887
14828	29.65400	517.075	483.222	180.093	487.045	327.931	164.884
14829	29.65600	516.790	482.983	180.148	486.947	328.090	164.880
14830	29.65800	516.530	482.816	180.104	486.612	328.303	164.926
14831	29.66000	516.240	482.603	180.049	486.195	328.529	164.832
14832	29.66200	515.997	482.363	180.075	486.017	328.677	164.779
14833	29.66400	515.761	482.093	180.097	485.921	328.820	164.776
14834	29.66600	515.450	481.855	180.150	485.607	328.929	164.807
14835	29.66800	515.143	481.665	180.113	485.199	329.075	164.824
14836	29.67000	514.920	481.488	180.057	485.037	329.221	164.920
14837	29.67200	514.686	481.243	180.032	484.871	329.437	164.963
14838	29.67400	514.397	480.968	180.090	484.575	329.587	164.940
14839	29.67600	514.071	480.726	180.149	484.266	329.760	164.791
14840	29.67800	513.840	480.543	180.074	483.985	329.909	164.730
14841	29.68000	513.573	480.338	180.004	483.818	330.071	164.718
14842	29.68200	513.302	480.091	179.982	483.573	330.211	164.790
14843	29.68400	513.049	479.835	180.069	483.321	330.381	164.900
14844	29.68600	512.829	479.573	180.139	483.014	330.521	164.972
14845	29.68800	512.502	479.385	180.099	482.781	330.681	164.925
14846	29.69000	512.213	479.197	180.030	482.567	330.820	164.855
14847	29.69200	512.003	478.968	180.008	482.296	330.995	164.774
14848	29.69400	511.761	478.705	180.048	481.937	331.192	164.750
14849	29.69600	511.422	478.458	180.117	481.712	331.402	164.805
14850	29.69800	511.088	478.260	180.096	481.593	331.538	164.818
14851	29.70000	510.900	478.075	180.023	481.319	331.654	164.908
14852	29.70200	510.601	477.845	179.970	480.910	331.773	164.879
14853	29.70400	510.324	477.606	179.995	480.677	331.915	164.872
14854	29.70600	510.066	477.343	180.097	480.560	332.098	164.815
14855	29.70800	509.801	477.132	180.104	480.285	332.314	164.820
14856	29.71000	509.480	476.935	180.019	479.821	332.540	164.800
14857	29.71200	509.234	476.720	179.999	479.652	332.671	164.750
14858	29.71400	509.016	476.486	180.021	479.554	332.798	164.783
14859	29.71600	508.713	476.230	180.139	479.226	332.907	164.851
14860	29.71800	508.375	476.033	180.148	478.820	333.054	164.866
14861	29.72000	508.114	475.828	180.047	478.638	333.235	164.954
14862	29.72200	507.904	475.600	179.994	478.524	333.439	164.956
14863	29.72400	507.575	475.379	180.017	478.151	333.612	164.914
14864	29.72600	507.290	475.131	180.121	477.779	333.784	164.765
14865	29.72800	507.052	474.903	180.160	477.602	333.925	164.766
14866	29.73000	506.792	474.715	180.092	477.446	334.071	164.790
14867	29.73200	506.462	474.484	180.007	477.127	334.210	164.896
14868	29.73400	506.230	474.256	180.047	476.790	334.384	164.961
14869	29.73600	505.976	473.994	180.118	476.601	334.526	164.994
14870	29.73800	505.656	473.763	180.159	476.354	334.702	164.913
14871	29.74000	505.321	473.556	180.061	476.069	334.854	164.813
14872	29.74200	505.111	473.363	180.006	475.831	335.031	164.730
14873	29.74400	504.837	473.124	180.001	475.503	335.223	164.753
14874	29.74600	504.529	472.878	180.102	475.309	335.409	164.829
