NO_OF_FRAMES	741
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 17:57:43.027	949996.67041030
DATA_INCLUDED	3D
MARKER_NAMES	h31_6g	v5_9g	hx	hy	vx	vy
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h31_6g X	h31_6g Y	h31_6g Z	v5_9g X	v5_9g Y	v5_9g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
598	1.19400	314.128	431.952	165.291	522.643	435.137	161.652	298.743	445.796	165.973	301.519	415.633	165.613	510.135	450.689	166.120	508.456	421.794	165.602
599	1.19600	314.151	431.943	165.276	521.893	435.109	161.657	298.782	445.797	166.005	301.541	415.633	165.613	509.386	450.643	166.127	507.721	421.722	165.629
600	1.19800	314.175	431.934	165.293	521.119	435.044	161.732	298.820	445.806	165.990	301.549	415.633	165.614	508.600	450.587	166.119	506.982	421.674	165.607
601	1.20000	314.213	431.917	165.296	520.358	434.988	161.757	298.858	445.806	165.991	301.565	415.633	165.614	507.836	450.540	166.126	506.251	421.645	165.581
602	1.20200	314.237	431.918	165.327	519.636	434.950	161.716	298.874	445.798	166.008	301.587	415.633	165.614	507.094	450.484	166.149	505.518	421.581	165.592
603	1.20400	314.275	431.900	165.330	518.888	434.931	161.704	298.912	445.798	166.009	301.595	415.633	165.615	506.325	450.444	166.110	504.787	421.536	165.663
604	1.20600	314.298	431.891	165.315	518.135	434.876	161.729	298.950	445.807	165.993	301.626	415.633	165.615	505.565	450.415	166.083	504.027	421.472	165.706
605	1.20800	314.329	431.883	165.332	517.386	434.794	161.805	298.966	445.807	165.993	301.649	415.633	165.615	504.809	450.351	166.091	503.318	421.427	165.713
606	1.21000	314.360	431.874	165.318	516.617	434.756	161.829	298.989	445.799	166.011	301.649	415.633	165.615	504.036	450.303	166.099	502.588	421.373	165.770
607	1.21200	314.391	431.865	165.335	515.881	434.744	161.768	299.058	445.815	165.977	301.672	415.633	165.616	503.275	450.256	166.074	501.828	421.319	165.827
608	1.21400	314.414	431.857	165.352	515.155	434.682	161.776	299.073	445.805	165.962	301.703	415.625	165.633	502.522	450.209	166.049	501.091	421.248	165.884
609	1.21600	314.436	431.848	165.338	514.387	434.625	161.802	299.135	445.823	165.962	301.718	415.624	165.602	501.759	450.153	166.041	500.383	421.193	165.878
610	1.21800	314.467	431.840	165.355	513.602	434.585	161.828	299.158	445.806	165.963	301.740	415.624	165.602	500.974	450.105	166.017	499.630	421.154	165.839
611	1.22000	314.498	431.831	165.341	512.902	434.558	161.800	299.204	445.823	165.963	301.756	415.633	165.617	500.235	450.049	166.009	498.897	421.080	165.835
612	1.22200	314.521	431.831	165.341	512.159	434.536	161.726	299.242	445.814	165.948	301.771	415.616	165.619	499.464	449.985	166.017	498.150	421.025	165.829
