NO_OF_FRAMES	1139
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:34:17.490	955791.10098720
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 27.7 g vs 34.3 g
MARKER_NAMES	h34_3g	hx	hy	v27_7g	vy	vx
COLLISION_TIME	0.76
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h34_3g X	h34_3g Y	h34_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v27_7g X	v27_7g Y	v27_7g Z	vy X	vy Y	vy Z	vx X	vx Y	vx Z	
5404	10.80600	460.635	542.339	169.485	470.543	530.822	169.593	473.149	552.446	169.425	410.841	387.349	164.695	425.448	372.243	164.897	395.144	374.633	164.938
5405	10.80800	460.427	542.197	169.479	470.626	530.910	169.626	472.704	552.586	169.418	410.689	387.550	164.678	425.052	372.182	164.950	394.753	375.107	164.920
5406	10.81000	460.261	542.047	169.429	470.688	530.982	169.626	472.230	552.716	169.399	410.527	387.745	164.710	424.629	372.137	164.964	394.416	375.571	164.887
5407	10.81200	460.028	541.860	169.470	470.749	531.097	169.641	471.740	552.863	169.380	410.390	387.939	164.710	424.221	372.108	164.947	394.062	376.015	164.969
5408	10.81400	459.851	541.719	169.464	470.804	531.229	169.627	471.285	552.984	169.405	410.244	388.142	164.725	423.804	372.073	164.978	393.703	376.488	164.920
5409	10.81600	459.635	541.568	169.477	470.843	531.344	169.612	470.750	553.122	169.371	410.074	388.344	164.710	423.391	372.044	164.957	393.379	376.957	164.983
5410	10.81800	459.402	541.399	169.518	470.852	531.476	169.597	470.289	553.216	169.381	409.953	388.528	164.696	422.958	372.015	164.941	393.012	377.390	165.017
5411	10.82000	459.218	541.248	169.499	470.899	531.601	169.596	469.828	553.329	169.391	409.768	388.739	164.695	422.521	371.988	164.951	392.668	377.906	164.948
5412	10.82200	458.996	541.089	169.493	470.922	531.725	169.594	469.275	553.456	169.404	409.621	388.934	164.727	422.081	371.986	164.946	392.344	378.349	165.031
5413	10.82400	458.810	540.937	169.505	470.936	531.849	169.625	468.798	553.552	169.412	409.446	389.110	164.729	421.627	371.950	164.974	392.009	378.859	165.008
5414	10.82600	458.580	540.760	169.501	470.938	531.990	169.593	468.245	553.627	169.423	409.292	389.304	164.730	421.206	371.955	164.919	391.680	379.359	164.973
5415	10.82800	458.372	540.609	169.512	470.877	532.130	169.594	467.738	553.687	169.430	409.146	389.497	164.731	420.728	371.946	164.959	391.356	379.828	165.038
5416	10.83000	458.186	540.458	169.524	470.885	532.289	169.594	467.202	553.763	169.410	408.994	389.699	164.715	420.320	371.954	164.966	391.061	380.352	164.950
5417	10.83200	457.962	540.299	169.549	470.856	532.457	169.577	466.679	553.805	169.417	408.840	389.918	164.698	419.843	371.970	164.955	390.722	380.831	165.029
5418	10.83400	457.742	540.166	169.499	470.834	532.625	169.560	466.143	553.863	169.396	408.679	390.096	164.731	419.387	371.969	164.980	390.409	381.331	164.995
5419	10.83600	457.525	540.005	169.527	470.766	532.783	169.560	465.576	553.914	169.388	408.510	390.281	164.749	418.928	371.993	164.951	390.126	381.851	164.990
5420	10.83800	457.319	539.864	169.491	470.727	532.950	169.574	465.046	553.947	169.380	408.349	390.467	164.766	418.473	372.010	164.972	389.818	382.319	165.024
5421	10.84000	457.110	539.685	169.518	470.691	533.109	169.542	464.470	553.969	169.388	408.187	390.678	164.766	418.011	372.027	164.993	389.538	382.871	164.981
5422	10.84200	456.886	539.499	169.529	470.631	533.294	169.526	463.926	553.993	169.366	408.051	390.888	164.733	417.550	372.069	164.993	389.230	383.341	165.048
5423	10.84400	456.693	539.349	169.539	470.561	533.489	169.554	463.366	554.000	169.372	407.883	391.090	164.716	417.051	372.094	164.995	388.955	383.886	165.025
5424	10.84600	456.471	539.198	169.520	470.485	533.683	169.552	462.796	554.031	169.396	407.721	391.267	164.751	416.603	372.156	165.025	388.689	384.388	165.021
5425	10.84800	456.265	539.047	169.500	470.394	533.885	169.535	462.214	554.038	169.371	407.584	391.461	164.752	416.120	372.198	165.025	388.426	384.884	165.102
5426	10.85000	456.041	538.913	169.513	470.297	534.062	169.502	461.676	554.035	169.393	407.431	391.664	164.767	415.639	372.251	165.073	388.146	385.425	164.984
5427	10.85200	455.872	538.772	169.509	470.206	534.282	169.484	461.063	554.022	169.370	407.277	391.848	164.754	415.150	372.302	165.053	387.899	385.933	165.110
5428	10.85400	455.671	538.613	169.534	470.100	534.485	169.467	460.488	554.011	169.345	407.094	392.042	164.755	414.664	372.362	165.053	387.643	386.448	165.011
5429	10.85600	455.469	538.437	169.559	469.968	534.678	169.497	459.921	553.990	169.337	406.948	392.227	164.772	414.213	372.422	165.047	387.435	386.980	165.087
5430	10.85800	455.247	538.268	169.539	469.847	534.863	169.479	459.330	553.935	169.327	406.817	392.422	164.806	413.697	372.507	165.026	387.185	387.471	165.041
5431	10.86000	455.041	538.125	169.506	469.711	535.057	169.445	458.778	553.896	169.319	406.672	392.615	164.776	413.227	372.577	165.036	386.955	388.045	165.064
5432	10.86200	454.865	537.992	169.488	469.545	535.268	169.412	458.116	553.786	169.339	406.537	392.816	164.728	412.758	372.680	165.012	386.680	388.501	165.025
5433	10.86400	454.627	537.850	169.484	469.385	535.488	169.395	457.607	553.685	169.377	406.384	393.035	164.710	412.297	372.759	165.036	386.526	389.068	165.098
5434	10.86600	454.411	537.664	169.495	469.224	535.699	169.392	457.008	553.567	169.382	406.230	393.212	164.746	411.794	372.871	165.028	386.269	389.576	165.019
5435	10.86800	454.180	537.531	169.505	469.100	535.910	169.421	456.414	553.440	169.433	406.082	393.398	164.766	411.256	372.942	165.068	386.123	390.109	165.128
5436	10.87000	454.003	537.407	169.501	468.947	536.121	169.420	455.954	553.385	169.424	405.922	393.556	164.772	410.755	373.053	165.028	385.848	390.633	165.019
5437	10.87200	453.810	537.282	169.529	468.763	536.347	169.422	455.286	553.301	169.431	405.785	393.758	164.756	410.261	373.141	165.067	385.725	391.180	165.035
5438	10.87400	453.624	537.113	169.543	468.494	536.561	169.320	454.650	553.201	169.404	405.663	393.986	164.723	409.762	373.287	165.021	385.499	391.699	165.002
5439	10.87600	453.443	536.955	169.475	468.308	536.754	169.348	454.159	553.075	169.394	405.501	394.197	164.723	409.329	373.404	165.102	385.306	392.254	165.001
5440	10.87800	453.238	536.789	169.420	468.071	536.954	169.333	453.421	552.965	169.413	405.302	394.365	164.742	408.846	373.567	165.056	385.146	392.737	165.179
5441	10.88000	452.967	536.627	169.451	467.904	537.208	169.318	452.951	552.840	169.431	405.188	394.524	164.749	408.371	373.664	165.073	384.988	393.312	165.002
5442	10.88200	452.766	536.500	169.483	467.717	537.473	169.375	452.266	552.704	169.466	405.103	394.737	164.780	407.809	373.793	165.065	384.818	393.795	165.182
5443	10.88400	452.620	536.377	169.479	467.435	537.667	169.338	451.598	552.601	169.474	404.995	394.965	164.780	407.272	373.908	165.079	384.613	394.394	164.957
5444	10.88600	452.394	536.237	169.532	467.203	537.860	169.244	451.129	552.414	169.630	404.782	395.139	164.721	406.769	374.068	165.178	384.452	394.929	165.100
5445	10.88800	452.105	536.055	169.626	466.924	538.023	169.290	450.452	552.197	169.650	404.481	395.279	164.729	406.302	374.262	165.196	384.330	395.421	165.063
5446	10.89000	451.863	535.913	169.531	466.597	538.232	169.380	449.883	552.019	169.667	404.349	395.458	164.796	405.848	374.444	165.180	384.243	396.018	165.006
5447	10.89200	451.727	535.773	169.495	466.349	538.524	169.298	449.324	551.850	169.638	404.295	395.715	164.838	405.354	374.620	164.992	384.083	396.453	165.083
5448	10.89400	451.511	535.651	169.517	466.151	538.744	169.280	448.666	551.715	169.580	404.254	395.950	164.755	404.839	374.811	164.992	384.012	397.119	164.958
5449	10.89600	451.273	535.516	169.499	465.804	538.918	169.307	448.111	551.483	169.628	404.126	396.131	164.650	404.308	374.987	165.014	383.792	397.547	165.089
5450	10.89800	451.065	535.373	169.498	465.474	539.136	169.320	447.498	551.244	169.597	403.836	396.297	164.636	403.788	375.178	165.185	383.663	398.136	165.055
5451	10.90000	450.864	535.231	169.527	465.144	539.329	169.316	446.870	550.986	169.566	403.678	396.453	164.786	403.280	375.338	165.241	383.573	398.613	165.083
5452	10.90200	450.633	535.062	169.538	464.870	539.548	169.297	446.367	550.800	169.476	403.537	396.631	164.855	402.796	375.495	165.236	383.469	399.158	165.037
5453	10.90400	450.394	534.912	169.547	464.525	539.740	169.293	445.710	550.496	169.556	403.424	396.833	164.839	402.330	375.729	165.177	383.387	399.687	165.027
5454	10.90600	450.165	534.788	169.511	464.193	539.948	169.324	445.165	550.220	169.558	403.249	397.068	164.758	401.821	376.002	165.032	383.296	400.234	165.016
5455	10.90800	449.956	534.628	169.541	463.864	540.159	169.317	444.535	549.943	169.560	403.087	397.277	164.729	401.328	376.231	165.052	383.213	400.780	165.005
5456	10.91000	449.716	534.486	169.567	463.499	540.351	169.253	443.946	549.613	169.655	402.949	397.444	164.721	400.821	376.424	165.072	383.105	401.301	165.015
5457	10.91200	449.455	534.344	169.563	463.122	540.525	169.279	443.328	549.317	169.721	402.835	397.630	164.739	400.365	376.630	165.173	383.053	401.831	165.037
5458	10.91400	449.248	534.202	169.559	462.747	540.735	169.275	442.735	548.997	169.768	402.728	397.815	164.727	399.843	376.847	165.147	382.969	402.351	165.017
5459	10.91600	449.040	534.060	169.555	462.346	540.892	169.301	442.158	548.694	169.787	402.575	398.008	164.730	399.322	377.091	165.136	382.910	402.873	165.056
5460	10.91800	448.811	533.910	169.535	461.971	541.056	169.284	441.557	548.400	169.820	402.414	398.202	164.732	398.848	377.360	165.068	382.857	403.383	165.022
5461	10.92000	448.582	533.785	169.500	461.533	541.249	169.307	440.995	548.045	169.835	402.251	398.379	164.770	398.379	377.617	165.128	382.797	403.923	165.060
