NO_OF_FRAMES	874
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:19:44.834	951318.46868910
DATA_INCLUDED	3D
MARKER_NAMES	v27_7g	vx	vy	h31_6g	hx	hy
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	v27_7g X	v27_7g Y	v27_7g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
4618	9.23400	523.530	306.393	164.370	518.398	325.937	164.469	503.700	299.037	164.763	332.204	624.665	165.803	316.560	638.197	166.121	319.864	608.221	166.004
4619	9.23600	523.101	306.746	164.411	518.026	326.342	164.438	503.260	299.440	164.757	332.202	624.252	165.811	316.513	637.775	166.138	319.818	607.816	166.004
4620	9.23800	522.676	307.125	164.428	517.654	326.736	164.395	502.856	299.800	164.742	332.130	623.841	165.724	316.494	637.328	166.103	319.846	607.342	165.968
4621	9.24000	522.283	307.512	164.392	517.185	327.071	164.447	502.404	300.221	164.730	332.144	623.362	165.835	316.416	636.843	166.128	319.796	606.901	165.994
4622	9.24200	521.826	307.880	164.398	516.791	327.486	164.465	501.982	300.608	164.725	332.104	622.979	165.737	316.392	636.429	166.163	319.796	606.488	165.979
4623	9.24400	521.408	308.270	164.429	516.399	327.879	164.390	501.552	301.004	164.735	332.062	622.484	165.782	316.365	635.937	166.139	319.859	605.994	166.002
4624	9.24600	521.007	308.667	164.406	515.949	328.250	164.432	501.105	301.435	164.738	332.069	622.088	165.793	316.295	635.508	166.142	319.768	605.599	165.957
4625	9.24800	520.559	309.077	164.387	515.562	328.648	164.455	500.677	301.822	164.734	332.028	621.659	165.739	316.315	635.074	166.171	319.810	605.114	165.998
4626	9.25000	520.118	309.449	164.423	515.138	329.060	164.407	500.219	302.244	164.756	332.018	621.181	165.817	316.244	634.601	166.153	319.762	604.666	165.980
4627	9.25200	519.699	309.851	164.387	514.742	329.474	164.427	499.783	302.648	164.748	331.986	620.832	165.757	316.218	634.179	166.138	319.753	604.260	166.012
4628	9.25400	519.276	310.273	164.379	514.294	329.854	164.452	499.346	303.080	164.750	331.960	620.311	165.785	316.178	633.703	166.181	319.791	603.757	166.019
4629	9.25600	518.821	310.635	164.400	513.930	330.275	164.420	498.898	303.503	164.772	331.943	619.916	165.765	316.129	633.265	166.136	319.741	603.363	165.977
4630	9.25800	518.377	311.068	164.441	513.499	330.705	164.405	498.460	303.917	164.778	331.903	619.503	165.775	316.120	632.814	166.198	319.750	602.868	166.001
4631	9.26000	517.969	311.472	164.402	513.055	331.069	164.466	498.007	304.382	164.773	331.900	619.009	165.792	316.048	632.377	166.152	319.705	602.447	165.971
4632	9.26200	517.484	311.869	164.451	512.682	331.508	164.432	497.561	304.796	164.781	331.860	618.650	165.745	316.015	631.919	166.167	319.734	602.016	165.988
4633	9.26400	517.044	312.266	164.466	512.273	331.937	164.383	497.115	305.254	164.794	331.843	618.164	165.811	315.991	631.460	166.214	319.719	601.530	165.997
4634	9.26600	516.636	312.677	164.411	511.816	332.319	164.476	496.655	305.682	164.767	331.818	617.752	165.758	315.933	631.024	166.105	319.700	601.119	165.955
4635	9.26800	516.171	313.117	164.434	511.427	332.758	164.442	496.200	306.150	164.794	331.786	617.329	165.784	315.893	630.546	166.180	319.729	600.649	166.026
4636	9.27000	515.723	313.480	164.456	511.025	333.187	164.394	495.742	306.569	164.753	331.775	616.863	165.789	315.835	630.118	166.089	319.664	600.221	165.953
4637	9.27200	515.280	313.944	164.424	510.578	333.577	164.468	495.290	307.011	164.769	331.719	616.469	165.707	315.772	629.634	166.117	319.675	599.771	165.967
4638	9.27400	514.843	314.331	164.425	510.168	334.006	164.421	494.827	307.465	164.754	331.680	616.009	165.792	315.770	629.210	166.136	319.656	599.313	165.966
4639	9.27600	514.364	314.738	164.453	509.769	334.446	164.420	494.353	307.904	164.739	331.669	615.579	165.739	315.691	628.746	166.105	319.627	598.893	165.907
4640	9.27800	513.940	315.177	164.445	509.327	334.843	164.444	493.916	308.370	164.736	331.629	615.156	165.765	315.688	628.286	166.152	319.656	598.404	166.009
4641	9.28000	513.505	315.565	164.444	508.921	335.284	164.443	493.416	308.808	164.723	331.597	614.698	165.788	315.617	627.866	166.110	319.582	597.986	165.890
4642	9.28200	513.018	315.978	164.494	508.522	335.714	164.429	492.986	309.267	164.739	331.571	614.287	165.706	315.584	627.390	166.125	319.616	597.534	165.967
4643	9.28400	512.577	316.385	164.488	508.081	336.111	164.454	492.513	309.703	164.694	331.546	613.826	165.792	315.559	626.968	166.147	319.577	597.094	165.969
4644	9.28600	512.163	316.814	164.466	507.689	336.551	164.454	492.057	310.171	164.723	331.506	613.414	165.741	315.481	626.510	166.164	319.577	596.647	165.925
4645	9.28800	511.666	317.220	164.497	507.278	336.973	164.425	491.592	310.607	164.680	331.489	612.974	165.767	315.478	626.045	166.134	319.603	596.186	166.017
4646	9.29000	511.261	317.608	164.499	506.850	337.396	164.462	491.129	311.068	164.726	331.471	612.533	165.793	315.423	625.631	166.173	319.552	595.784	165.931
4647	9.29200	510.801	318.079	164.453	506.452	337.809	164.452	490.692	311.514	164.698	331.430	612.122	165.711	315.382	625.156	166.157	319.583	595.297	166.005
4648	9.29400	510.361	318.459	164.474	506.046	338.257	164.435	490.238	311.972	164.714	331.406	611.653	165.782	315.364	624.726	166.132	319.532	594.884	165.996
4649	9.29600	509.891	318.890	164.483	505.633	338.656	164.493	489.797	312.416	164.766	331.404	611.267	165.750	315.317	624.267	166.181	319.528	594.444	165.967
4650	9.29800	509.495	319.310	164.447	505.220	339.070	164.482	489.314	312.862	164.738	331.348	610.800	165.758	315.276	623.829	166.139	319.547	593.966	166.028
4651	9.30000	509.018	319.708	164.463	504.821	339.525	164.451	488.880	313.304	164.791	331.330	610.368	165.770	315.235	623.362	166.141	319.495	593.564	165.973
4652	9.30200	508.558	320.113	164.498	504.380	339.890	164.513	488.391	313.751	164.761	331.313	609.965	165.737	315.179	622.914	166.146	319.550	593.060	166.017
