NO_OF_FRAMES	994
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:21:38.805	951432.43934970
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 34.0 g vs (fjäderpuck) 31.6 g
MARKER_NAMES	v34_0g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0.91
TRAJECTORY_TYPES	Measured	Mixed	Mixed	Measured	Measured	Mixed
Frame	Time	v34_0g X	v34_0g Y	v34_0g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
12749	25.49600	350.499	207.911	169.494	348.590	223.248	169.354	334.627	207.134	169.445	547.253	530.855	165.380	540.902	550.293	165.670	528.192	522.843	165.460
12750	25.49800	350.509	208.225	169.403	348.627	223.644	169.375	334.657	207.472	169.496	546.840	530.482	165.406	540.553	550.019	165.582	527.788	522.558	165.395
12751	25.50000	350.539	208.562	169.453	348.620	223.898	169.375	334.701	207.814	169.497	546.463	530.205	165.387	540.201	549.708	165.617	527.382	522.292	165.359
12752	25.50200	350.583	208.917	169.498	348.646	224.256	169.373	334.766	208.141	169.452	546.092	529.903	165.382	539.734	549.344	165.651	527.004	521.910	165.436
12753	25.50400	350.626	209.230	169.406	348.662	224.633	169.368	334.781	208.503	169.478	545.680	529.549	165.407	539.340	549.050	165.595	526.604	521.599	165.418
12754	25.50600	350.650	209.602	169.447	348.675	224.931	169.287	334.811	208.814	169.523	545.263	529.228	165.403	539.002	548.751	165.582	526.206	521.340	165.369
12755	25.50800	350.688	209.930	169.485	348.676	225.275	169.406	334.849	209.118	169.503	544.903	528.944	165.366	538.568	548.416	165.623	525.859	520.977	165.445
12756	25.51000	350.755	210.224	169.451	348.717	225.600	169.417	334.912	209.486	169.510	544.505	528.640	165.394	538.156	548.078	165.642	525.433	520.631	165.458
12757	25.51200	350.804	210.629	169.479	348.711	225.923	169.313	334.960	209.800	169.503	544.095	528.277	165.404	537.813	547.781	165.598	525.035	520.353	165.410
12758	25.51400	350.852	210.940	169.442	348.747	226.329	169.348	334.998	210.101	169.533	543.695	527.967	165.384	537.437	547.477	165.589	524.656	520.050	165.409
12759	25.51600	350.875	211.265	169.448	348.770	226.613	169.389	335.043	210.446	169.566	543.339	527.698	165.382	537.016	547.126	165.690	524.257	519.697	165.468
12760	25.51800	350.933	211.650	169.534	348.789	226.935	169.369	335.122	210.756	169.527	542.936	527.353	165.392	536.577	546.810	165.614	523.859	519.402	165.421
12761	25.52000	350.974	211.965	169.447	348.828	227.349	169.386	335.169	211.088	169.516	542.510	526.996	165.389	536.291	546.526	165.605	523.481	519.082	165.419
12762	25.52200	351.013	212.314	169.431	348.857	227.664	169.302	335.184	211.426	169.568	542.155	526.711	165.386	535.854	546.186	165.690	523.083	518.754	165.465
12763	25.52400	351.058	212.683	169.525	348.850	227.959	169.356	335.221	211.736	169.529	541.798	526.436	165.397	535.418	545.854	165.697	522.708	518.442	165.417
12764	25.52600	351.096	212.957	169.466	348.906	228.341	169.415	335.285	212.080	169.478	541.359	526.071	165.378	535.074	545.548	165.637	522.293	518.139	165.385
12765	25.52800	351.113	213.332	169.456	348.923	228.654	169.300	335.310	212.442	169.506	540.963	525.742	165.390	534.675	545.255	165.612	521.897	517.802	165.415
12766	25.53000	351.137	213.693	169.484	348.928	229.002	169.287	335.332	212.736	169.473	540.594	525.465	165.372	534.267	544.903	165.684	521.526	517.518	165.413
12767	25.53200	351.137	213.981	169.471	348.967	229.351	169.441	335.354	213.047	169.517	540.223	525.165	165.367	533.873	544.603	165.641	521.132	517.180	165.412
12768	25.53400	351.175	214.346	169.531	349.008	229.656	169.344	335.418	213.429	169.489	539.747	524.798	165.411	533.494	544.315	165.550	520.750	516.842	165.444
12769	25.53600	351.199	214.697	169.463	349.025	230.029	169.308	335.451	213.736	169.418	539.410	524.497	165.377	533.126	543.975	165.636	520.358	516.567	165.426
12770	25.53800	351.224	215.008	169.425	349.069	230.399	169.324	335.459	214.067	169.490	539.064	524.240	165.358	532.680	543.666	165.664	519.950	516.256	165.409
12771	25.54000	351.223	215.387	169.531	349.076	230.663	169.338	335.464	214.412	169.524	538.609	523.865	165.418	532.306	543.352	165.587	519.562	515.892	165.425
12772	25.54200	351.270	215.690	169.511	349.126	231.042	169.366	335.550	214.720	169.455	538.214	523.519	165.430	531.932	543.034	165.576	519.146	515.616	165.408
12773	25.54400	351.303	216.032	169.430	349.166	231.389	169.325	335.583	215.088	169.464	537.841	523.270	165.365	531.493	542.700	165.649	518.786	515.314	165.376
12774	25.54600	351.359	216.430	169.478	349.193	231.714	169.253	335.598	215.417	169.505	537.451	522.959	165.409	531.117	542.382	165.670	518.387	514.943	165.437
12775	25.54800	351.366	216.711	169.484	349.247	232.072	169.420	335.619	215.715	169.506	537.021	522.560	165.452	530.732	542.100	165.596	517.983	514.631	165.454
12776	25.55000	351.395	217.045	169.505	349.297	232.392	169.371	335.682	216.090	169.497	536.619	522.285	165.371	530.331	541.754	165.664	517.593	514.356	165.405
12777	25.55200	351.444	217.438	169.491	349.284	232.728	169.314	335.730	216.429	169.468	536.301	522.010	165.384	529.901	541.445	165.694	517.196	514.010	165.452
12778	25.55400	351.484	217.729	169.428	349.351	233.128	169.373	335.730	216.720	169.488	535.854	521.652	165.446	529.521	541.131	165.647	516.792	513.680	165.469
12779	25.55600	351.515	218.087	169.508	349.359	233.402	169.402	335.752	217.065	169.523	535.440	521.317	165.410	529.192	540.814	165.637	516.396	513.396	165.405
12780	25.55800	351.574	218.432	169.543	349.377	233.741	169.377	335.798	217.403	169.494	535.094	521.041	165.392	528.714	540.479	165.681	516.014	513.075	165.438
12781	25.56000	351.607	218.764	169.451	349.393	234.145	169.385	335.847	217.731	169.452	534.681	520.737	165.423	528.348	540.177	165.704	515.630	512.720	165.501
12782	25.56200	351.648	219.153	169.488	349.391	234.434	169.293	335.877	218.070	169.507	534.253	520.364	165.452	527.951	539.887	165.583	515.199	512.445	165.390
12783	25.56400	351.708	219.471	169.518	349.393	234.758	169.388	335.892	218.378	169.522	533.848	520.071	165.402	527.552	539.531	165.638	514.815	512.142	165.361
12784	25.56600	351.745	219.776	169.500	349.456	235.128	169.406	335.937	218.706	169.480	533.492	519.768	165.401	527.098	539.213	165.683	514.430	511.796	165.440
12785	25.56800	351.817	220.199	169.527	349.442	235.434	169.310	336.008	219.082	169.473	533.100	519.448	165.462	526.759	538.917	165.639	514.018	511.493	165.378
12786	25.57000	351.863	220.501	169.481	349.493	235.807	169.358	336.009	219.373	169.493	532.676	519.102	165.445	526.383	538.592	165.612	513.626	511.191	165.348
12787	25.57200	351.902	220.799	169.483	349.534	236.138	169.436	336.017	219.681	169.508	532.316	518.800	165.412	525.936	538.264	165.673	513.255	510.836	165.443
12788	25.57400	351.970	221.191	169.553	349.551	236.437	169.358	336.062	220.050	169.520	531.923	518.522	165.397	525.563	537.954	165.681	512.848	510.534	165.412
12789	25.57600	352.003	221.486	169.440	349.552	236.824	169.370	336.103	220.365	169.433	531.518	518.168	165.426	525.187	537.654	165.609	512.464	510.214	165.382
12790	25.57800	352.020	221.828	169.444	349.588	237.153	169.335	336.126	220.676	169.479	531.096	517.847	165.394	524.803	537.318	165.632	512.050	509.894	165.446
12791	25.58000	352.058	222.186	169.526	349.606	237.434	169.346	336.181	221.000	169.571	530.742	517.555	165.377	524.394	536.985	165.706	511.677	509.565	165.464
12792	25.58200	352.088	222.470	169.481	349.654	237.834	169.404	336.217	221.301	169.522	530.359	517.244	165.422	524.022	536.701	165.637	511.269	509.271	165.356
