NO_OF_FRAMES	670
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:16:52.217	951145.85218580
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 14.6g vs (fjäderpuck) 31.6g
MARKER_NAMES	v14_6g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	v14_6g X	v14_6g Y	v14_6g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
1855	3.70800	484.441	399.984	165.499	478.259	421.319	166.084	461.624	394.292	165.378	486.190	495.901	165.348	466.217	501.547	165.853	481.936	475.697	165.322
1856	3.71000	484.009	400.376	165.594	477.953	421.796	166.085	461.237	394.665	165.445	485.778	495.574	165.398	465.747	501.193	165.855	481.503	475.432	165.359
1857	3.71200	483.680	400.821	165.548	477.689	422.196	166.110	460.885	395.154	165.542	485.284	495.237	165.402	465.224	500.819	165.954	480.975	475.089	165.411
1858	3.71400	483.303	401.252	165.498	477.296	422.624	166.173	460.471	395.649	165.389	484.856	494.978	165.329	464.782	500.561	165.876	480.620	474.752	165.329
1859	3.71600	482.900	401.651	165.613	476.976	423.089	166.066	460.039	396.058	165.548	484.275	494.692	165.362	464.274	500.206	165.849	480.128	474.480	165.316
1860	3.71800	482.587	402.087	165.487	476.657	423.489	166.091	459.749	396.549	165.473	483.887	494.373	165.399	463.801	499.843	165.898	479.766	474.204	165.376
1861	3.72000	482.180	402.547	165.512	476.322	423.953	166.119	459.357	397.014	165.418	483.385	494.036	165.403	463.290	499.522	165.934	479.201	473.836	165.378
1862	3.72200	481.822	402.918	165.585	475.979	424.399	165.951	458.950	397.434	165.590	482.964	493.785	165.346	462.827	499.237	165.811	478.822	473.534	165.293
1863	3.72400	481.490	403.400	165.499	475.658	424.815	166.074	458.621	397.955	165.387	482.408	493.474	165.364	462.345	498.864	165.879	478.394	473.288	165.328
1864	3.72600	481.090	403.831	165.515	475.353	425.270	165.956	458.220	398.409	165.522	481.988	493.154	165.402	461.888	498.527	165.914	477.951	472.975	165.393
1865	3.72800	480.728	404.193	165.574	474.961	425.710	165.933	457.850	398.838	165.475	481.505	492.844	165.358	461.375	498.224	165.855	477.480	472.609	165.361
1866	3.73000	480.369	404.677	165.485	474.644	426.125	166.027	457.493	399.371	165.381	481.044	492.611	165.331	460.907	497.895	165.812	477.009	472.334	165.321
1867	3.73200	479.999	405.081	165.523	474.362	426.566	165.938	457.100	399.737	165.497	480.530	492.274	165.398	460.415	497.531	165.926	476.695	472.079	165.377
1868	3.73400	479.614	405.462	165.578	474.006	427.016	166.028	456.760	400.235	165.409	480.105	491.936	165.406	459.946	497.229	165.897	476.163	471.730	165.378
1869	3.73600	479.302	405.936	165.509	473.622	427.411	166.061	456.350	400.718	165.384	479.640	491.661	165.330	459.464	496.917	165.824	475.758	471.374	165.331
1870	3.73800	478.911	406.322	165.519	473.373	427.880	165.983	455.947	401.109	165.483	479.124	491.410	165.303	458.976	496.554	165.875	475.252	471.143	165.304
1871	3.74000	478.517	406.748	165.582	473.029	428.302	166.064	455.675	401.627	165.391	478.681	491.074	165.370	458.486	496.225	165.957	474.911	470.861	165.376
1872	3.74200	478.221	407.186	165.488	472.630	428.697	166.064	455.232	402.068	165.419	478.207	490.737	165.409	458.013	495.923	165.867	474.380	470.495	165.314
1873	3.74400	477.801	407.601	165.539	472.425	429.204	166.046	454.822	402.551	165.464	477.766	490.488	165.317	457.521	495.584	165.842	473.933	470.157	165.329
1874	3.74600	477.424	408.024	165.542	471.984	429.561	166.054	454.487	403.017	165.375	477.204	490.218	165.291	457.045	495.213	165.939	473.515	469.945	165.300
1875	3.74800	477.120	408.473	165.494	471.635	430.027	166.049	454.087	403.437	165.549	476.776	489.883	165.358	456.563	494.911	165.881	473.086	469.634	165.330
1876	3.75000	476.683	408.880	165.560	471.451	430.481	166.004	453.726	403.914	165.406	476.295	489.546	165.396	456.064	494.581	165.839	472.655	469.270	165.299
1877	3.75200	476.343	409.300	165.537	470.959	430.855	166.043	453.332	404.427	165.390	475.861	489.305	165.321	455.583	494.245	165.906	472.119	468.967	165.342
1878	3.75400	475.977	409.758	165.503	470.620	431.348	166.018	452.958	404.810	165.540	475.274	489.027	165.311	455.111	493.908	165.942	471.796	468.746	165.334
1879	3.75600	475.585	410.157	165.587	470.403	431.748	165.981	452.591	405.343	165.418	474.884	488.692	165.380	454.623	493.613	165.837	471.308	468.400	165.332
1880	3.75800	475.225	410.585	165.514	469.971	432.160	166.081	452.199	405.785	165.446	474.389	488.355	165.417	454.119	493.249	165.890	470.863	468.052	165.302
1881	3.76000	474.837	411.044	165.512	469.649	432.632	165.965	451.811	406.214	165.436	473.969	488.113	165.345	453.645	492.895	165.957	470.343	467.777	165.327
1882	3.76200	474.462	411.414	165.589	469.367	433.034	166.022	451.482	406.744	165.421	473.374	487.828	165.349	453.170	492.601	165.916	469.984	467.546	165.336
1883	3.76400	474.119	411.872	165.524	469.007	433.464	166.122	451.079	407.114	165.463	472.994	487.499	165.374	452.683	492.307	165.780	469.543	467.175	165.317
1884	3.76600	473.746	412.302	165.513	468.629	433.919	165.973	450.679	407.649	165.438	472.485	487.172	165.393	452.189	491.917	165.944	469.070	466.835	165.338
1885	3.76800	473.364	412.665	165.606	468.384	434.338	166.129	450.324	408.097	165.356	472.063	486.939	165.338	451.743	491.607	165.932	468.649	466.596	165.361
1886	3.77000	473.014	413.140	165.539	468.007	434.715	166.136	449.958	408.515	165.503	471.469	486.636	165.342	451.236	491.286	165.877	468.200	466.327	165.375
1887	3.77200	472.650	413.551	165.501	467.657	435.217	166.061	449.584	409.022	165.436	471.074	486.308	165.367	450.761	490.957	165.835	467.817	465.964	165.344
1888	3.77400	472.258	413.934	165.622	467.369	435.615	166.160	449.227	409.446	165.436	470.581	485.989	165.371	450.284	490.603	165.968	467.296	465.645	165.387
1889	3.77600	471.956	414.408	165.526	467.024	436.010	166.099	448.839	409.931	165.514	470.144	485.756	165.315	449.796	490.291	165.863	466.897	465.413	165.400
1890	3.77800	471.574	414.811	165.505	466.727	436.537	166.075	448.463	410.394	165.402	469.602	485.436	165.352	449.312	489.961	165.825	466.421	465.120	165.362
1891	3.78000	471.153	415.211	165.621	466.340	436.889	166.099	448.106	410.841	165.559	469.183	485.090	165.379	448.840	489.616	165.876	466.025	464.738	165.367
1892	3.78200	470.869	415.656	165.485	466.081	437.348	166.012	447.719	411.294	165.468	468.715	484.807	165.351	448.358	489.262	165.947	465.549	464.446	165.393
1893	3.78400	470.473	416.089	165.538	465.761	437.804	166.031	447.352	411.771	165.463	468.215	484.546	165.311	447.872	488.985	165.811	465.090	464.212	165.375
1894	3.78600	470.101	416.468	165.566	465.325	438.154	166.056	446.990	412.195	165.533	467.727	484.227	165.350	447.390	488.638	165.868	464.703	463.859	165.327
1895	3.78800	469.795	416.915	165.491	465.140	438.661	166.010	446.590	412.666	165.438	467.302	483.890	165.359	446.919	488.276	165.919	464.236	463.521	165.311
1896	3.79000	469.357	417.331	165.543	464.756	439.045	166.003	446.259	413.128	165.500	466.852	483.624	165.299	446.440	487.964	165.912	463.851	463.245	165.405
1897	3.79200	469.012	417.718	165.558	464.323	439.448	166.058	445.852	413.566	165.473	466.319	483.381	165.291	445.961	487.661	165.793	463.323	462.995	165.352
1898	3.79400	468.682	418.192	165.497	464.183	439.937	165.983	445.478	414.058	165.471	465.893	483.045	165.330	445.468	487.298	165.943	462.939	462.623	165.306
1899	3.79600	468.274	418.582	165.568	463.752	440.296	165.993	445.130	414.457	165.493	465.405	482.708	165.370	445.007	486.961	165.917	462.495	462.331	165.333
1900	3.79800	467.941	419.003	165.548	463.350	440.751	166.110	444.742	414.973	165.444	464.975	482.450	165.329	444.526	486.666	165.816	462.052	462.046	165.445
1901	3.80000	467.558	419.460	165.519	463.196	441.196	165.959	444.406	415.404	165.435	464.404	482.190	165.320	444.047	486.329	165.853	461.561	461.789	165.342
1902	3.80200	467.211	419.832	165.565	462.792	441.601	166.076	444.007	415.864	165.464	464.004	481.862	165.314	443.571	485.966	165.972	461.137	461.432	165.300
1903	3.80400	466.851	420.271	165.573	462.410	442.020	166.101	443.647	416.345	165.419	463.524	481.518	165.367	443.077	485.672	165.837	460.779	461.151	165.373
1904	3.80600	466.461	420.719	165.498	462.175	442.482	165.980	443.244	416.788	165.486	463.108	481.285	165.344	442.592	485.377	165.798	460.264	460.864	165.422
1905	3.80800	466.121	421.100	165.591	461.816	442.896	166.114	442.918	417.273	165.501	462.507	480.999	165.319	442.118	485.007	165.899	459.838	460.570	165.293
1906	3.81000	465.747	421.557	165.565	461.436	443.305	166.027	442.543	417.720	165.460	462.114	480.705	165.314	441.638	484.669	165.939	459.378	460.241	165.262
1907	3.81200	465.385	421.987	165.527	461.175	443.777	166.052	442.158	418.175	165.635	461.626	480.354	165.381	441.165	484.392	165.837	459.038	459.966	165.357
