NO_OF_FRAMES	5700
NO_OF_CAMERAS	2
NO_OF_MARKERS	15
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 21:15:25.973	961859.55993530
DATA_INCLUDED	3D
MARKER_NAMES	a396_1g	ax	ay	b31_6g	bx	by	c27_7g	cx	cy	d14_6g	dx	dy	e5_9g	ex	ey
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	a396_1g X	a396_1g Y	a396_1g Z	ax X	ax Y	ax Z	ay X	ay Y	ay Z	b31_6g X	b31_6g Y	b31_6g Z	bx X	bx Y	bx Z	by X	by Y	by Z	c27_7g X	c27_7g Y	c27_7g Z	cx X	cx Y	cx Z	cy X	cy Y	cy Z	d14_6g X	d14_6g Y	d14_6g Z	dx X	dx Y	dx Z	dy X	dy Y	dy Z	e5_9g X	e5_9g Y	e5_9g Z	ex X	ex Y	ex Z	ey X	ey Y	ey Z	
32554	65.10600	325.245	583.559	172.493	355.694	569.386	170.795	341.133	614.265	170.270	370.022	734.074	166.125	380.146	751.648	165.976	351.135	742.616	165.581	553.853	593.193	164.962	570.186	604.936	165.052	539.784	608.863	165.042	295.967	438.658	166.100	309.580	421.097	166.457	314.915	452.397	165.937	112.951	507.892	162.441	129.988	518.162	165.898	101.584	523.727	166.070
32555	65.10800	325.199	583.691	172.453	356.352	571.281	170.740	339.340	615.277	170.298	369.738	733.516	166.101	380.090	750.965	165.899	350.956	742.255	165.609	554.471	593.311	164.963	571.079	604.661	165.014	540.766	609.338	165.014	295.635	438.409	166.086	309.017	420.643	166.418	314.714	451.937	165.940	111.845	508.163	162.495	128.926	518.371	165.910	100.544	524.024	166.144
32556	65.11000	325.139	583.850	172.430	356.964	573.192	170.783	337.501	616.165	170.315	369.489	732.953	166.137	380.035	750.267	165.899	350.778	741.867	165.649	555.016	593.413	164.991	571.931	604.313	165.063	541.791	609.768	165.030	295.211	438.114	166.058	308.487	420.219	166.456	314.436	451.406	165.946	110.748	508.426	162.502	127.852	518.598	165.889	99.489	524.324	166.158
32557	65.11200	325.078	584.017	172.422	357.432	575.139	170.736	335.593	616.949	170.323	369.217	732.356	166.165	379.947	749.549	165.925	350.617	741.560	165.659	555.636	593.522	164.976	572.771	604.002	165.083	542.804	610.214	165.017	294.835	437.788	166.068	307.904	419.799	166.412	314.211	450.928	165.918	109.642	508.696	162.493	126.771	518.825	165.869	98.426	524.638	166.107
32558	65.11400	325.025	584.149	172.412	357.853	577.120	170.722	333.654	617.662	170.326	368.919	731.822	166.164	379.890	748.839	165.970	350.500	741.173	165.811	556.229	593.614	164.990	573.657	603.673	165.042	543.836	610.639	164.954	294.487	437.476	166.074	307.354	419.383	166.404	313.984	450.441	165.936	108.536	508.967	162.485	125.717	519.042	165.896	97.361	524.926	166.104
32559	65.11600	324.934	584.299	172.373	358.091	579.074	170.759	331.653	618.252	170.316	368.656	731.190	166.188	379.840	748.128	166.016	350.339	740.841	165.802	556.810	593.741	164.975	574.513	603.343	165.062	544.838	611.033	164.968	294.073	437.212	166.063	306.785	418.941	166.445	313.717	449.946	165.911	107.449	509.239	162.508	124.631	519.251	165.907	96.313	525.227	166.118
32560	65.11800	324.828	584.502	172.338	358.223	581.098	170.739	329.720	618.726	170.374	368.349	730.678	166.127	379.693	747.422	165.999	350.153	740.463	165.716	557.414	593.851	164.959	575.356	602.966	165.127	545.898	611.456	164.937	293.740	436.952	166.003	306.204	418.512	166.388	313.454	449.452	165.918	106.333	509.500	162.484	123.567	519.469	165.903	95.246	525.524	166.099
32561	65.12000	324.790	584.642	172.343	358.293	583.185	170.645	327.690	619.123	170.382	368.078	730.039	166.133	379.636	746.694	166.043	349.990	740.058	165.753	557.986	593.971	164.958	576.172	602.638	165.084	546.908	611.849	164.952	293.347	436.606	166.043	305.656	418.107	166.427	313.262	448.919	165.892	105.231	509.755	162.446	122.510	519.687	165.899	94.188	525.830	166.034
32562	65.12200	324.760	584.774	172.334	358.308	585.188	170.720	325.732	619.386	170.420	367.802	729.495	166.146	379.548	745.979	166.039	349.820	739.733	165.649	558.612	594.071	164.958	576.973	602.292	165.040	547.965	612.218	164.949	292.964	436.324	166.096	305.039	417.671	166.418	312.951	448.479	165.957	104.150	510.036	162.392	121.422	519.906	165.895	93.138	526.136	166.031
32563	65.12400	324.645	584.943	172.234	358.019	587.174	170.733	323.729	619.572	170.405	367.532	728.929	166.106	379.454	745.265	166.007	349.666	739.362	165.583	559.157	594.171	164.987	577.760	601.890	165.056	549.017	612.596	164.931	292.633	436.041	166.086	304.548	417.271	166.377	312.670	447.931	165.936	103.059	510.326	162.384	120.352	520.132	165.906	92.091	526.419	166.045
32564	65.12600	324.518	585.164	172.265	357.751	589.196	170.720	321.687	619.610	170.394	367.247	728.358	166.129	379.383	744.540	166.021	349.527	738.984	165.611	559.788	594.270	165.019	578.561	601.544	165.012	550.090	612.965	164.929	292.216	435.738	166.075	303.939	416.855	166.429	312.449	447.488	165.907	101.970	510.588	162.392	119.267	520.333	165.933	91.039	526.717	166.027
32565	65.12800	324.427	585.295	172.287	357.415	591.206	170.787	319.663	619.548	170.484	366.956	727.804	166.045	379.296	743.826	165.989	349.388	738.657	165.540	560.384	594.398	165.004	579.336	601.179	164.998	551.163	613.288	165.001	291.831	435.437	166.068	303.352	416.410	166.406	312.198	446.895	165.935	100.873	510.852	162.401	118.179	520.551	165.929	89.973	527.022	166.024
32566	65.13000	324.328	585.426	172.308	356.934	593.217	170.793	317.731	619.392	170.555	366.705	727.185	166.135	379.233	743.120	165.977	349.233	738.286	165.473	560.980	594.508	164.988	580.073	600.759	165.043	552.265	613.643	164.934	291.470	435.135	166.089	302.830	416.046	166.362	312.004	446.443	165.923	99.766	511.105	162.393	117.116	520.760	165.941	88.933	527.324	166.039
32567	65.13200	324.261	585.602	172.287	356.391	595.175	170.801	315.778	619.156	170.533	366.414	726.672	166.076	379.153	742.389	165.942	349.086	737.871	165.525	561.568	594.627	164.988	580.854	600.420	165.047	553.319	613.965	164.976	291.070	434.870	166.079	302.214	415.612	166.417	311.666	445.920	165.854	98.673	511.385	162.432	116.046	520.987	165.952	87.901	527.621	166.115
